,Title,Link,Content(RAW)
0,"Hadiri Jamuan Minum Teh, Presiden Jokowi Kembali Undang …",https://www.presidenri.go.id/siaran-pers/hadiri-jamuan-minum-teh-presiden-jokowi-kembali-undang-kaisar-naruhito-ke-indonesia/,"Presiden Joko Widodo bersama para pemimpin negara ASEAN menghadiri jamuan minum teh yang digelar oleh Kaisar Jepang Naruhito dan Permaisuri Masako di Istana Kekaisaran, Tokyo, Jepang, pada Senin, 18 Desember 2023. Sebelum jamuan minum teh dimulai, Kaisar Naruhito terlebih dahulu memberikan sambutannya.

Kaisar Naruhito menyampaikan ucapan selamat atas suksesnya penyelenggaraan KTT Perayaan 50 Tahun ASEAN-Jepang. Kaisar Naruhito berharap KTT tersebut dapat memberikan kesempatan untuk memajukan hubungan persahabatan dan kerja sama ASEAN-Jepang.

“Pada kesempatan yang baik ini, saya mendoakan kesuksesan dan kesehatan yang baik bagi Anda semua serta kebahagiaan dan kesejahteraan rakyat kita di Negara ASEAN,” ucap Kaisar Naruhito.

Kaisar Naruhito, Permaisuri Masako, bersama para pemimpin negara lainnya kemudian melakukan jamuan minum teh bersama. Sebelum meninggalkan Istana Kekaisaran, Presiden Jokowi sempat berbincang kembali dan menyampaikan pesan kepada Kaisar Naruhito dan Permaisuri Masako untuk kembali berkunjung ke Indonesia.

Presiden pun berharap Kaisar Naruhito dan Permaisuri Masako dapat berkunjung dalam waktu yang lebih lama dari sebelumnya. “Saya menunggu kehadiran Yang Mulia dan Permaisuri untuk datang ke Indonesia untuk waktu yang lebih lama. Satu bulan atau dua bulan,” ujar Presiden Jokowi yang disambut tawa Kaisar Naruhito dan Permaisuri."
1,Presiden Jokowi Tiba di Tanah Air Usai Lawatan ke Jepang,https://www.presidenri.go.id/siaran-pers/presiden-jokowi-tiba-di-tanah-air-usai-lawatan-ke-jepang/,"Sebelumnya, Presiden beserta rombongan lepas landas dari Bandara Internasional Haneda, Tokyo, pada Senin, 18 Desember 2023, sekitar pukul 19.30 waktu setempat (WS) atau 17.30 WIB.

Presiden Joko Widodo tiba di Pangkalan TNI AU Halim Perdanakusuma, Jakarta, pada Selasa dini hari, 19 Desember 2023, sekitar pukul 01.10 WIB, usai menempuh perjalanan selama kurang lebih tujuh jam dari Tokyo, Jepang.

Tampak menyambut Presiden di bawah tangga pesawat yakni Panglima TNI Jenderal Agus Subiyanto dan Kapolri Jenderal Listyo Sigit Prabowo.

Sebelumnya, Presiden beserta rombongan lepas landas dari Bandara Internasional Haneda, Tokyo, pada Senin, 18 Desember 2023, sekitar pukul 19.30 waktu setempat (WS) atau 17.30 WIB. Turut mendampingi Presiden dalam penerbangan menuju Jakarta yaitu Sekretaris Kabinet Pramono Anung.

Dalam kunjungannya ke Jepang, Presiden Jokowi telah menyampaikan pandangannya dalam beberapa forum kegiatan. Pada Konferensi Tingkat Tinggi (KTT) Perayaan 50 Tahun Hubungan Persahabatan dan Kerja Sama ASEAN-Jepang, Presiden Jokowi menyampaikan bahwa ASEAN dan Jepang telah menyepakati sejumlah visi bersama dan rencana implementasi kemitraan ke depan.

Menurutnya, ASEAN dan Jepang telah sepakat untuk meningkatkan kerja sama pada sejumlah bidang mulai dari ekonomi, pendidikan, hingga ketahanan pangan dan energi.

“Penguatan ketahanan pangan dan energi melalui kerja sama teknologi pertanian, mendorong investasi dan alih teknologi, percepatan transformasi digital melalui upaya upskilling dan reskilling SDM, serta peningkatan konektivitas digital, khususnya bagi UMKM,” kata Presiden saat menyampaikan pernyataan pers bersama Perdana Menteri (PM) Jepang Kishida Fumio di Hotel The Okura, Tokyo, Jepang, pada Minggu, 17 Desember 2023 lalu.

Selain itu, sebagai mitra dalam perdamaian dan stabilitas, ASEAN dan Jepang terus berkomitmen menjaga pedamaian melalui kolaborasi yang inklusif, penghormatan aturan hukum internasional, dan penguatan sentralitas ASEAN. Kepala Negara pun meyakini kemitraan ASEAN dan Jepang akan terus berkontribusi dalam menjaga stabilitas dan perdamaian kawasan.

“Dengan semangat persahabatan, saya meyakini kemitraan ASEAN dan Jepang dapat terus berkontribusi menjaga stabilitas dan perdamaian, mendekatkan masyarakat, dan menggerakkan pertumbuhan ekonomi di kawasan dan dunia,” ujarnya."
2,Presiden Jokowi Resmikan Jembatan Otto Iskandar Dinata Bogor,https://www.presidenri.go.id/siaran-pers/presiden-jokowi-resmikan-jembatan-otto-iskandar-dinata-bogor/,"Proyek pelebaran jembatan tersebut sebagai upaya mengatasi permasalahan kemacetan yang diakibatkan oleh penyempitan jalan.

Presiden Joko Widodo meresmikan Jembatan Otto Iskandar Dinata (Otista), Kota Bogor, Provinsi Jawa Barat, pada Selasa, 19 Desember 2023. Proyek pelebaran jembatan tersebut sebagai upaya mengatasi permasalahan kemacetan yang diakibatkan oleh penyempitan jalan.

“Jembatan ini—Jembatan Otista ini salah satu menjadi problem di Kota Bogor, karena setelah (jalanan) melebar, menyempit di jembatan ini,” ucap Presiden dalam keterangannya di hadapan awak media usai peresmian.

Presiden Jokowi menilai Jembatan Otista yang dibangun dengan anggaran hampir Rp50 miliar tersebut, saat ini telah memiliki konstruksi yang lebih baik dibanding sebelumnya. “Sehingga kalau kita lihat sekarang saya kira lebih dari cukup,” imbuhnya.

Selain itu, Kepala Negara pun menyampaikan bahwa sejalan dengan pembangunan jembatan tersebut, ciri khas jembatan yang telah ada sejak tahun 1920 itu pun tetap dipertahankan dalam rangka menjaga cagar budaya.

“Tetap dijaga tadi saya juga ke bawah melihat, konstruksi lengkung itu tetap tidak dihilangkan,” ungkapnya.

Dalam laporannya saat peresmian, Wali Kota Bogor Bima Arya menjelaskan bahwa pembangunan pelebaran Jembatan Otista dilaksanakan selama 7,5 bulan. Bima berharap dengan selesainya jembatan tersebut dapat menopang arus lalu lintas serta perekonomian warga sekitar.

“Mudah-mudahan lancarnya jembatan ini membukakan rezeki yang lebih luas lagi bagi seluruh warga,” tandasnya.

Turut mendampingi Presiden dalam kegiatan tersebut yakni Menteri Pekerjaan Umum dan Perumahan Rakyat Ad Interim Bahlil Lahadalia, Menteri Dalam Negeri Tito Karnavian, Panglima TNI Jenderal Agus Subiyanto, Pj. Gubernur Jawa Barat Bey Machmudin, dan Wali Kota Bogor Bima Arya."
3,Masyarakat Desa Garda Terdepan Pembangunan Nasional,https://www.mpr.go.id/berita/Masyarakat-Desa-Garda-Terdepan-Pembangunan-Nasional,"Masyarakat Desa Garda Terdepan Pembangunan Nasional

Masyarakat desa merupakan garda terdepan yang memiliki peran penting dalam pembangunan. Pengembangan sejumlah potensi desa merupakan langkah strategis untuk mengakselerasi pencapaian target pembangunan nasional.

""Kapasitas masyarakat desa harus diperkuat agar mampu secara bersama merealisasikan potensi yang ada di desa menjadi sumber kesejahteraan masyarakat di sekitarnya,"" kata Wakil Ketua MPR RI, Lestari Moerdijat dalam keterangan tertulisnya, Selasa (19/12).

Pernyataan Lestari itu disampaikan pada acara Temu Tokoh Nasional MPR RI di hadapan para tokoh dan masyarakat di Desa Bango, Kabupaten Demak, Jawa Tengah, Senin (18/12).

Dalam proses pembangunan, Lestari juga mengingatkan, pentingnya mengedepankan kearifan lokal peninggalan para pendahulu kita, yang sudah terbukti nilai-nilai yang ditanamkannya mampu melestarikan sumber daya alam yang kita miliki.

Diakui Rerie, sapaan akrab Lestari, nilai-nilai yang ditanamkan oleh para pendahulu bangsa sangat mewarnai empat konsensus kebangsaan (Pancasila, UUD 1945, Negara Kesatuan Republik Indonesia/NKRI dan Bhineka Tunggal Ika) yang diwarisi para pendiri negeri.

Para wali dalam proses menyebarkan agama Islam di Jawa misalnya, tambah Rerie yang juga anggota Komisi X DPR RI dari Dapil II Jawa Tengah itu, tetap berupaya memakai nilai-nilai yang ada sebelumnya untuk menjaga persatuan dan kebhinekaan.

Menurut Anggota Majelis Tinggi Partai NasDem itu, nilai-nilai yang terkandung dalam Pancasila, UUD 1945, NKRI dan Bhineka Tunggal Ika harus mampu dipahami oleh generasi penerus sehingga bisa dijadikan fondasi penting dalam membangun desa secara bersama.

Apalagi, ungkap Rerie, dalam Undang-Undang No. 6 Tahun 2014 tentang Desa disebutkan bahwa desa merupakan satu satuan yang melaksanakan pembangunan, pembinaan kemasyarakatan dan pemberdayaan masyarakat sesuai dengan Pancasila, UUD 1945, NKRI dan Bhineka Tunggal Ika.

Jadi, tambah dia, Undang-Undang tentang Desa itu tetap menjadikan konsensus kebangsaan kita sebagai dasar dalam proses pengembangan desa.

Masyarakat desa, tegas Rerie, harus bisa menjadi penggerak dan mengambil peran dalam dinamika pembangunan, sehingga desa bisa secara mandiri mengelola semua potensi yang ada.

Rerie sangat berharap semua komponen masyarakat desa dengan latar belakang dan warna yang berbeda dapat bersama-sama membangun desa untuk mewujudkan kesejahteraan bersama dan mengantarkan generasi mendatang menuju Indonesia Emas 2045.

Di malam harinya, pesan yang sama juga disampaikan Rerie kepada masyarakat yang tergabung dalam paguyuban awak bus Demak dan paguyuban gerobak sayur Demak.

Kepada masyarakat di dua paguyuban itu, Rerie mengingatkan pentingnya untuk memahami nilai-nilai yang terkandung dalam empat konsensus kebangsaan agar kita tidak lupa dari mana kita berasal.

Bila setiap warga negara mampu melaksanakan nilai-nilai dalam Pancasila, UUD 1945, NKRI dan Bhineka Tunggal Ika, Rerie menilai upaya mewujudkan Indonesia yang adil dan makmur adalah sebuah keniscayaan.*

Anggota Terkait :





Dr. LESTARI MOERDIJAT S.S., M.M."
4,Bank Maspion tetapkan visi sebagai 20 bank terbesar di …,https://www.idnfinancials.com/id/news/48667/,"BMAS - PT. Bank Maspion Indonesia Tbk Rp 565 -5 (-0,88%) Info Selengkapnya!

JAKARTA. Bank Maspion telah menetapkan visi dan misi baru untuk menjadi 20 bank besar di Indonesia pada tahun 2027. Untuk mencapai tujuan tersebut, bank yang mayoritas sahamnya kini dimiliki Kasikorn Vision Financials Company Pte/Ltd (KVF) telah menetapkan sejumlah strategi demi tercapainya pertumbuhan dan pendapatan yang berkelanjutan.

Direktur Utama Bank Maspion, Kasemsri Charoensiddhi, mengatakan untuk mencapai tujuan menjadi 20 bank terbesar di Indonesia, pihaknya sudah menetapkan sejumlah langkah-langkah meliputi: meningkatkan model bisnis dari bisnis lokal ke profesional. Hal itu akan dicapai melalui reorganisasi struktur bank untuk memisahkan tugas antara risiko dan bisnis, audit internal dan menempatkan staf manajemen kuncdi dan menetapkan kebijakan dan proses bank yang luar.

“Kami juga mendatangkan tenaga ahli dari KBank sebagai konsultan di segala aspek untuk memastikan knowhow dan transfer knowledge ke Bank Maspion,” ujar Kasemsri kepada IDNFinancials.com beberapa waktu lalu.

Bank Maspion juga telah melakukan transformasi yang mencakup sema aspek bisnis dan risiko untuk meningkatkan kemampuan staf, produk & layanan operasi serta keuangan bank untuk mendukung pertumbuhan bisnis dan manajemen risiko. “Juga pengembangan SDM, pengembangan jalur karir dan pelatihan,” kata Kasemsri.

Lebih lanjut Kasemsri memaparkan bahwa pihaknya akan memperluas bisnis ke corporate banking, pemberian pinjaman melalui sindikasi, pembaiayaan rantai pasokak dan penyaluran pinjaman untuk mendorong pertumbuhan bisnis.

Langkah terakhir yang dilakukan Bank Maspion untuk mencapai visi menjadi 20 bank terbesar di Indonesia dalam membangun merek untuk meningkatkan keakraban di masyarakat dan untuk menyelaraskan Bank Maspion sebagai bagian dari kelompok yang lebih besar.

Pada akhir November 2023, KVF telah meningkatkan kepemilikannya pada Bank Maspion menjadi 81,1% setelah bank itu melakukan rights issue senilai Rp1,7 triliun. Dengan perubahan kepemilikan itu, PT Alim Investindo di Bank Maspion kini tinggal 13,89%. (AM)"
5,"BRI tebar dividen interim Rp 12,65 triliun | IDNFinancials",https://www.idnfinancials.com/id/news/48665/,"BBRI - PT. Bank Rakyat Indonesia (Persero) Tbk Rp 5.550 +50 (+0,91%) Info Selengkapnya!

JAKARTA - PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) akan tebari dividen interim Rp 12,65 triliun untuk tahun buku 2023 pada 18 Januari 2024. Dividen interim tahun 2023 mendekati 50% dividen interim pada periode serupa tahun 2022.



Dalam keterbukaan informasi dikutip Selasa (19/12), Agustya Hendy Bernadi, Sekretaris Perusahaan Bank BRI menyampaikan total dividen maksimum Rp 12,73 triliun dan minimum Rp 12,65 triliun atau Rp 84 per saham. ""Sesuai keputusan direksi yang telah disetujui Dewan Komisaris pada pekan lalu (15/12),"" katanya.



Pembayaran dividen interim tersebut merujuk pada data keuangan per 30 September 2023 dengan laba bersih Rp 43,99 triliun, saldo laba ditahan Rp 207,24 triliun, dan total ekuitas Rp 311,53 triliun.



Untuk cum dan ex dividen di pasar reguler dan pasar negosiasi dijadwalkan pada (29/12) dan (2/1), cum dan ex dividen di pasar tunai pada (3-4/1), serta Daftar Pemegang Saham (DPS) yang berhak (recoding date) per (3/1).



Pada tahun buku 2022, emiten Bank BUMN ini menebar dividen interim minimum Rp 8,59 triliun dan maksimum Rp 8,63 triliun atau Rp 57 per saham pada 27 Januari 2023. Laba bersih per September 2022 tercatat Rp 39,15 triliun, saldo laba ditahan Rp 194,73 triliun, dan total ekuitas Rp 300,33 triliun. (LK)



"
6,"Percaya diri, BBYB sasar 25% pertumbuhan kredit dan …",https://www.idnfinancials.com/id/news/48663/dream-big-bbyb-eyes-credit-growth-business-turnaround,"BBYB - PT. Bank Neo Commerce Tbk Rp 470 +24 (+5,00%) Info Selengkapnya!

JAKARTA – Yakin dengan pertumbuhan kreditnya, PT Bank Neo Commerce Tbk (BBYB) memasang target peningkatan kredit sebesar 20%-25% pada tahun 2024. Manajemen juga mengungkapkan optimismenya mengenai titik balik kinerja usaha di tahun depan.

Berdasarkan Paparan Publik Tahunan Bank Neo Commerce 2023 yang digelar hari ini (19/12), hingga September 2023, kredit BBYB dilaporkan hampir menyentuh Rp11 triliun. Angka ini telah jauh melampaui kredit yang disalurkan sepanjang tahun 2022 sebesar Rp10,24 triliun.

“Untuk tahun 2024, kami menargetkan pertumbuhan kredit 20%-25%, didorong oleh diversifikasi kredit kami,” ujar Aditya Wahyu Windarwo, Pjs. Direktur Utama BBYB, pada publik. “Harapannya, dana pihak ketiga (DPK) dan CASA turut tumbuh.”

Windarwo mengungkapkan bahwa BBYB akan melebarkan segmen kreditnya ke komersial dan UKM. Hal ini juga disebut sebagai strategi perseroan dalam mengelola NPL, karena kedua segmen dianggap lebih stabil dalam kolektabilitas utang dibandingkan dengan kredit retail atau konsumen.

Hingga Q3 2023, BBYB mencatatkan NPL sebesar 3,8%. “Angkanya memang lebih tinggi dari peers atau competitor kami,” aku Windarwo. “Namun, sudah lebih stabil dalam 5-6 bulan terakhir. Maka, sekarang kami dapat memaksimalkan potensi revenue kami.”

Selain itu, dihadapkan dengan rugi berturut-turut sepanjang tahun ini, Windarwo tetap optimis. “Pada bulan Oktober dan November, kami sudah ada profit. Untuk Desember, kami harap efisiensi yang optimal dapat membawa hasil yang serupa.”

Manajemen merasa positif bahwa Q1 2024 akan menjadi titik balik turnaround kinerja usaha BBYB menuju profitability sepanjang tahun 2024. “2024 adalah tahun di mana kami percaya bahwa setelah tiga tahun bertransformasi, kami dapat mencetak posisi keuangan yang lebih baik,” tutup Windarwo. (ZH)"
7,"Waskita Karya kembali salurkan pendanaan Rp33,99 miliar …",https://www.idnfinancials.com/id/news/48670/,"WSKT - PT. Waskita Karya (Persero) Tbk Rp 0 0 (0%) Info Selengkapnya!

JAKARTA. PT Waskita Karya (Persero) Tbk (WSKT) kembali menyalurkan suntikan modal sebesar Rp33,99 miliar kepada salah satu anak usahanya yaitu PT Trans Jabar Tol (TJT).

Suntikan modal tersebut disalurkan oleh WSKT melalui salah PT Waskita Toll Road (WTR). “TJT merupakan anak perusahaan WTR dengan kepemilikan sebesar 99,99%,” tulis Manajemen WSKT, dalam keterangan resminya.

Adapun latar belakang pemberian suntikan modal tersebut adalah untuk memenuhi kebutuhan pendanaan pada TJT. “Dengan adanya peningkatan modal dari WTR kepada TJT, diharapkan dapat memaksimalkan kinerja usahanya dan diharapkan akan memberikan nilai tambah bagi perseroan sebagai pemegang saham WTR,” jelas Manajemen WSKT.

Menurut data idnfinancials.com, WSKT sebelumnya juga telah memberikan suntikan modal sebesar Rp132,93 miliar kepada TJT. Suntikan modal tersebut juga diberikan untuk memenuhi kebutuhan pendanaan TJT.

Sebagai catatan, TJT adalah entitas usaha di bidang jalan tol yang didirikan pada 2007. TJT memperoleh hak pengusahaan jalan tol untuk segmen Bogor-Ciawi-Sukabumi, dengan jangka waktu konsesi selama 45 tahun. (KR)"
8,DSSA raih pinjaman US$ 197 juta | IDNFinancials,https://www.idnfinancials.com/id/news/48664/,"DSSA - PT. Dian Swastatika Sentosa Tbk Rp 78.000 -2.475 (-3,08%) Info Selengkapnya!

JAKARTA - PT Dian Swastatika Sentosa Tbk (DSSA) meraih fasilitas pinjaman US$ 197 juta guna modal kerja dan operasional umum.



Susan Chandra, Sekretaris Perusahaan DSSA menyampaikan fasilitas pinjaman itu diperoleh dari PT Bank Central Asia Tbk (BBCA).""Fasilitas pinjaman dijamin dengan aset perusahaan,"" katanya dalam keterbukaan informasi dikutip Selasa (19/12).



Per September 2023, aset lancar emiten ini tercatat US$ 1,13 miliar, sekira 50% dari aset lancar per Desember 2022 sebesar US$ 2,26 miliar. Total ekuitas tercatat US$ 1,58 miliar, hampir 50% dari total ekuitas per Desember 2022 sebesar US$ 2,99 miliar.



Pasca fasilitas pinjaman itu, rasio utang terhadap ekuitas DSSA naik 12,40%. Pada triwulan III 2023, current rationya tercatat 167,8%, rasio utang terhadap modal (liabilitas to equity ratio) 62,8%, dan rasio kewajiban terhadap aset (liabilities to asset ratio) 38,6%. (LK)"
9,GZCO dapat tambahan lahan | IDNFinancials,https://www.idnfinancials.com/id/news/48666/gzco-secures-additional-land,"GZCO - PT. Gozco Plantations Tbk Rp 147 +3 (+2,00%) Info Selengkapnya!

JAKARTA - PT Gozco Plantations Tbk (GZCO) akan mendapat tambahan lahan perkebunan 9.610 hektare (Ha) dan tanaman menghasilkan 3.154 Ha dari PT Sinar Karya Mandiri (SKM). Tambahan lahan itu pasca anak usahanya, PT Suryabumi Agrolanggeng (SA) menyetorkan modal senilai Rp 190 miliar ke SKM, kemarin (18/12).



Dalam keterbukaan informasi dikutip Selasa (19/12), setoran modal SA yang diterima SKM merujuk kepada putusan sirkules para pemegang saham SKM, kemarin (18/12). Nilai setoran modal itu kisaran 16,5% dari ekuitas GZCO per Desember 2022 sebesar Rp 1,15 triliun.



Setoran modal SA ke SKM dilakukan pasca GZCO mengakhiri kesepakatan pembelian obligasi wajib konversi tanpa kupon (mandatory convertable bond) senilai Rp 150 miliar dengan City Peak Development Limited (City), Hongkong. Para pihak yang bertransaksi tiak memiliki ailiasi. (LK)"
