,Error Link,Error
0,https://www.doi.gov/news,Date Blocks
1,https://www.doli.virginia.gov/category/announcements/,None News
2,https://www.ajc.com/atlanta-traffic/gridlock-guy-longstanding-open-manhole-injures-crash-victim/PEHB55EXBNFJTORW43STY72ASY/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/atlanta-traffic/gridlock-guy-longstanding-open-manhole-injures-crash-victim/PEHB55EXBNFJTORW43STY72ASY/ on URL https://www.ajc.com/atlanta-traffic/gridlock-guy-longstanding-open-manhole-injures-crash-victim/PEHB55EXBNFJTORW43STY72ASY/
3,https://www.ajc.com/news/crime/breaking-3-men-killed-4th-injured-in-buckhead-shooting/A5NPFKO4OBAMLH5B74T5U3OZXY/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/crime/breaking-3-men-killed-4th-injured-in-buckhead-shooting/A5NPFKO4OBAMLH5B74T5U3OZXY/ on URL https://www.ajc.com/news/crime/breaking-3-men-killed-4th-injured-in-buckhead-shooting/A5NPFKO4OBAMLH5B74T5U3OZXY/
4,https://www.ajc.com/atlanta-weather/sundays-weather-strong-storms-temps-dropping-due-to-cold-front/CBCVOWBPLZC73IPS4P6JZM5T64/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/atlanta-weather/sundays-weather-strong-storms-temps-dropping-due-to-cold-front/CBCVOWBPLZC73IPS4P6JZM5T64/ on URL https://www.ajc.com/atlanta-weather/sundays-weather-strong-storms-temps-dropping-due-to-cold-front/CBCVOWBPLZC73IPS4P6JZM5T64/
5,https://www.ajc.com/news/crime/shop-with-a-sheriff-250-kids-select-gifts-with-fulton-county-deputies/NYTNBFF7GJBIFNMKNB3SUPMBNE/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/crime/shop-with-a-sheriff-250-kids-select-gifts-with-fulton-county-deputies/NYTNBFF7GJBIFNMKNB3SUPMBNE/ on URL https://www.ajc.com/news/crime/shop-with-a-sheriff-250-kids-select-gifts-with-fulton-county-deputies/NYTNBFF7GJBIFNMKNB3SUPMBNE/
6,https://www.ajc.com/news/crime/25k-reward-in-fatal-shooting-of-former-paulding-high-school-soccer-star/DEPZJH5LXRFI7EN7FCWO2D6IO4/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/crime/25k-reward-in-fatal-shooting-of-former-paulding-high-school-soccer-star/DEPZJH5LXRFI7EN7FCWO2D6IO4/ on URL https://www.ajc.com/news/crime/25k-reward-in-fatal-shooting-of-former-paulding-high-school-soccer-star/DEPZJH5LXRFI7EN7FCWO2D6IO4/
7,https://www.ajc.com/news/crime/cops-man-killed-after-being-shot-hit-by-car-in-brookhaven/6ZNE3TFT45AB7EKTZU7RNA3RAU/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/crime/cops-man-killed-after-being-shot-hit-by-car-in-brookhaven/6ZNE3TFT45AB7EKTZU7RNA3RAU/ on URL https://www.ajc.com/news/crime/cops-man-killed-after-being-shot-hit-by-car-in-brookhaven/6ZNE3TFT45AB7EKTZU7RNA3RAU/
8,https://www.ajc.com/atlanta-traffic/gridlock-guy-longstanding-open-manhole-injures-crash-victim/PEHB55EXBNFJTORW43STY72ASY/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/atlanta-traffic/gridlock-guy-longstanding-open-manhole-injures-crash-victim/PEHB55EXBNFJTORW43STY72ASY/ on URL https://www.ajc.com/atlanta-traffic/gridlock-guy-longstanding-open-manhole-injures-crash-victim/PEHB55EXBNFJTORW43STY72ASY/
9,https://www.ajc.com/atlanta-traffic/gridlock-guy-longstanding-open-manhole-injures-crash-victim/PEHB55EXBNFJTORW43STY72ASY/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/atlanta-traffic/gridlock-guy-longstanding-open-manhole-injures-crash-victim/PEHB55EXBNFJTORW43STY72ASY/ on URL https://www.ajc.com/atlanta-traffic/gridlock-guy-longstanding-open-manhole-injures-crash-victim/PEHB55EXBNFJTORW43STY72ASY/
10,https://www.ajc.com/news/crime/breaking-3-men-killed-4th-injured-in-buckhead-shooting/A5NPFKO4OBAMLH5B74T5U3OZXY/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/crime/breaking-3-men-killed-4th-injured-in-buckhead-shooting/A5NPFKO4OBAMLH5B74T5U3OZXY/ on URL https://www.ajc.com/news/crime/breaking-3-men-killed-4th-injured-in-buckhead-shooting/A5NPFKO4OBAMLH5B74T5U3OZXY/
