,Unnamed: 0.1,Unnamed: 0,Error Link,Error
0,0.0,0.0,https://www.army.mil/article/272368/operation_good_cheer_revived_bringing_joy_to_american_soldiers_in_germany,"Article `download()` failed with HTTPSConnectionPool(host='www.army.mil', port=443): Read timed out. (read timeout=7) on URL https://www.army.mil/article/272368/operation_good_cheer_revived_bringing_joy_to_american_soldiers_in_germany"
1,1.0,1.0,https://www.army.mil/article/272293/camp_caseyk_16_air_base_hosts_annual_tree_lighting_ceremonies_for_service_members_and_families,"Article `download()` failed with HTTPSConnectionPool(host='www.army.mil', port=443): Read timed out. (read timeout=7) on URL https://www.army.mil/article/272293/camp_caseyk_16_air_base_hosts_annual_tree_lighting_ceremonies_for_service_members_and_families"
2,2.0,2.0,https://www.army.mil/article/272045/spiritual_empowerment_sisters_in_arms_help_native_american_soldier_overcome_tragedy,"Article `download()` failed with HTTPSConnectionPool(host='www.army.mil', port=443): Read timed out. (read timeout=7) on URL https://www.army.mil/article/272045/spiritual_empowerment_sisters_in_arms_help_native_american_soldier_overcome_tragedy"
3,3.0,3.0,https://www.army.mil/article/271993/native_name_inspires_strength_pride_for_virginia_guardsman,"Article `download()` failed with HTTPSConnectionPool(host='www.army.mil', port=443): Read timed out. (read timeout=7) on URL https://www.army.mil/article/271993/native_name_inspires_strength_pride_for_virginia_guardsman"
4,4.0,4.0,https://www.army.mil/article/271891/female_vietnam_vet_journalist_reflects_on_battlefield_experience,"Article `download()` failed with HTTPSConnectionPool(host='www.army.mil', port=443): Read timed out. (read timeout=7) on URL https://www.army.mil/article/271891/female_vietnam_vet_journalist_reflects_on_battlefield_experience"
5,5.0,5.0,https://www.army.mil/article/271931/1st_inf_div_marches_in_little_apple_veterans_day_parade,"Article `download()` failed with HTTPSConnectionPool(host='www.army.mil', port=443): Read timed out. (read timeout=7) on URL https://www.army.mil/article/271931/1st_inf_div_marches_in_little_apple_veterans_day_parade"
6,6.0,6.0,https://www.army.mil/article/270956/usarpac_landpower_essential_in_defending_indo_pacific,"Article `download()` failed with HTTPSConnectionPool(host='www.army.mil', port=443): Read timed out. (read timeout=7) on URL https://www.army.mil/article/270956/usarpac_landpower_essential_in_defending_indo_pacific"
7,7.0,7.0,https://www.army.mil/article/270642/african_lion_2024_morocco_hosts_multinational_planning_meeting,"Article `download()` failed with HTTPSConnectionPool(host='www.army.mil', port=443): Read timed out. (read timeout=7) on URL https://www.army.mil/article/270642/african_lion_2024_morocco_hosts_multinational_planning_meeting"
8,8.0,8.0,https://www.army.mil/article/268684/intel_soldiers_revolutionize_logistics_units_enhancing_efficiency_and_preparedness,"Article `download()` failed with HTTPSConnectionPool(host='www.army.mil', port=443): Read timed out. (read timeout=7) on URL https://www.army.mil/article/268684/intel_soldiers_revolutionize_logistics_units_enhancing_efficiency_and_preparedness"
9,9.0,9.0,https://www.army.mil/article/267656/signal_soldiers_enable_network_connectivity_at_remote_base,"Article `download()` failed with HTTPSConnectionPool(host='www.army.mil', port=443): Read timed out. (read timeout=7) on URL https://www.army.mil/article/267656/signal_soldiers_enable_network_connectivity_at_remote_base"
10,10.0,10.0,https://www.army.mil/article/256504/army_south_and_partner_nations_conclude_pisaj_16,"Article `download()` failed with HTTPSConnectionPool(host='www.army.mil', port=443): Read timed out. (read timeout=7) on URL https://www.army.mil/article/256504/army_south_and_partner_nations_conclude_pisaj_16"
11,11.0,11.0,https://www.army.mil/article/236654/despite_covid_19_deployed_soldiers_graduate_from_basic_leaders_course,"Article `download()` failed with HTTPSConnectionPool(host='www.army.mil', port=443): Read timed out. (read timeout=7) on URL https://www.army.mil/article/236654/despite_covid_19_deployed_soldiers_graduate_from_basic_leaders_course"
12,12.0,12.0,https://www.navy.mil/Press-Office/,None Contents
13,13.0,13.0,https://www.navy.mil/Press-Office/,None Contents
14,14.0,14.0,https://www.doi.gov/news,Date Blocks
15,15.0,15.0,https://www.dol.gov/newsroom/releases?agency=All&state=All&topic=All&year=all&page=0,None Title/None Content
16,16.0,16.0,https://gov.georgia.gov/press-releases,None Title/None Contents
17,17.0,17.0,https://news.caloes.ca.gov/,'NoneType' object is not subscriptable
18,18.0,18.0,https://www.twc.texas.gov/news,Entire Error
19,19.0,,https://www.lockheedmartin.com/en-us/news.html,'NoneType' object has no attribute 'find_all'
20,,,https://www.ajc.com/news/crime/wake-up-call-fire-under-ne-atlanta-bridge-shows-dangers-of-homeless-camps/PQ5XYVHRKREQPLT5PS2THSMNZE/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/crime/wake-up-call-fire-under-ne-atlanta-bridge-shows-dangers-of-homeless-camps/PQ5XYVHRKREQPLT5PS2THSMNZE/ on URL https://www.ajc.com/news/crime/wake-up-call-fire-under-ne-atlanta-bridge-shows-dangers-of-homeless-camps/PQ5XYVHRKREQPLT5PS2THSMNZE/
21,,,https://www.ajc.com/news/atlanta-airport-blog/more-options-to-get-through-atlanta-airport-security-delta-is-expanding-digital-id/ENKROWQN3BCXJC6KXXG55FMGAU/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/atlanta-airport-blog/more-options-to-get-through-atlanta-airport-security-delta-is-expanding-digital-id/ENKROWQN3BCXJC6KXXG55FMGAU/ on URL https://www.ajc.com/news/atlanta-airport-blog/more-options-to-get-through-atlanta-airport-security-delta-is-expanding-digital-id/ENKROWQN3BCXJC6KXXG55FMGAU/
22,,,https://www.ajc.com/news/medical-device-producer-gerresheimer-expanding-georgia-footprint-creating-200-new-jobs/Z4BSO7OD7ZDTZGZQBG47RLE4GY/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/medical-device-producer-gerresheimer-expanding-georgia-footprint-creating-200-new-jobs/Z4BSO7OD7ZDTZGZQBG47RLE4GY/ on URL https://www.ajc.com/news/medical-device-producer-gerresheimer-expanding-georgia-footprint-creating-200-new-jobs/Z4BSO7OD7ZDTZGZQBG47RLE4GY/
23,,,https://www.ajc.com/news/crime/mother-arrested-after-allegedly-passing-out-drunk-in-bed-suffocating-baby/S3R4JXGHVFG4NAIUYCCHEY6FZE/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/crime/mother-arrested-after-allegedly-passing-out-drunk-in-bed-suffocating-baby/S3R4JXGHVFG4NAIUYCCHEY6FZE/ on URL https://www.ajc.com/news/crime/mother-arrested-after-allegedly-passing-out-drunk-in-bed-suffocating-baby/S3R4JXGHVFG4NAIUYCCHEY6FZE/
24,,,https://www.ajc.com/news/health-news/democratic-lawmakers-critical-of-georgia-dropping-kids-from-medicaid/6IBE5EJIKVCBNAUWWSAPVYVTPY/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/health-news/democratic-lawmakers-critical-of-georgia-dropping-kids-from-medicaid/6IBE5EJIKVCBNAUWWSAPVYVTPY/ on URL https://www.ajc.com/news/health-news/democratic-lawmakers-critical-of-georgia-dropping-kids-from-medicaid/6IBE5EJIKVCBNAUWWSAPVYVTPY/
25,,,https://www.ajc.com/news/crime/man-hospitalized-after-dekalb-firefighters-discover-church-playground-burning/RGWLFCJRHJGPVHHXSH5U3A4HOE/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/crime/man-hospitalized-after-dekalb-firefighters-discover-church-playground-burning/RGWLFCJRHJGPVHHXSH5U3A4HOE/ on URL https://www.ajc.com/news/crime/man-hospitalized-after-dekalb-firefighters-discover-church-playground-burning/RGWLFCJRHJGPVHHXSH5U3A4HOE/
26,,,https://www.ajc.com/news/atlanta-news/roswell-man-to-forfeit-ferrari-and-lamborghini-in-health-care-fraud-plea-deal/G4D2JP7YQBADZJ6VCHYGYQAEKU/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/atlanta-news/roswell-man-to-forfeit-ferrari-and-lamborghini-in-health-care-fraud-plea-deal/G4D2JP7YQBADZJ6VCHYGYQAEKU/ on URL https://www.ajc.com/news/atlanta-news/roswell-man-to-forfeit-ferrari-and-lamborghini-in-health-care-fraud-plea-deal/G4D2JP7YQBADZJ6VCHYGYQAEKU/
27,,,https://www.ajc.com/news/as-td-jakes-takes-on-94-acre-fort-mcpherson-project-here-are-five-things-to-know/3N7TUBWEN5CHPJLDYASUXW6PX4/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/as-td-jakes-takes-on-94-acre-fort-mcpherson-project-here-are-five-things-to-know/3N7TUBWEN5CHPJLDYASUXW6PX4/ on URL https://www.ajc.com/news/as-td-jakes-takes-on-94-acre-fort-mcpherson-project-here-are-five-things-to-know/3N7TUBWEN5CHPJLDYASUXW6PX4/
28,,,https://www.ajc.com/things-to-do/atlanta-winter-guide/atlanta-is-nations-most-festive-and-affordable-city-for-christmas/MO2HJWPDIRFHFPOVCFSHWC747Q/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/things-to-do/atlanta-winter-guide/atlanta-is-nations-most-festive-and-affordable-city-for-christmas/MO2HJWPDIRFHFPOVCFSHWC747Q/ on URL https://www.ajc.com/things-to-do/atlanta-winter-guide/atlanta-is-nations-most-festive-and-affordable-city-for-christmas/MO2HJWPDIRFHFPOVCFSHWC747Q/
29,,,https://www.ajc.com/news/health-news/a-fifth-of-us-hospitals-warned-over-secretive-pricing/7B7XBHPGZBGLXHDGCY2LABX7CY/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/health-news/a-fifth-of-us-hospitals-warned-over-secretive-pricing/7B7XBHPGZBGLXHDGCY2LABX7CY/ on URL https://www.ajc.com/news/health-news/a-fifth-of-us-hospitals-warned-over-secretive-pricing/7B7XBHPGZBGLXHDGCY2LABX7CY/
30,,,https://www.ajc.com/news/business/georgia-saw-job-growth-in-november-here-are-four-things-to-know/4DERDHJ5KBGBXHWCGLSB3GIZ54/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/business/georgia-saw-job-growth-in-november-here-are-four-things-to-know/4DERDHJ5KBGBXHWCGLSB3GIZ54/ on URL https://www.ajc.com/news/business/georgia-saw-job-growth-in-november-here-are-four-things-to-know/4DERDHJ5KBGBXHWCGLSB3GIZ54/
31,,,https://www.ajc.com/news/crime/riverdale-officer-arrested-on-false-imprisonment-charge-by-clayton-police/CUOUT5DIXNCVRDAHWLLSXN3ZYQ/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/crime/riverdale-officer-arrested-on-false-imprisonment-charge-by-clayton-police/CUOUT5DIXNCVRDAHWLLSXN3ZYQ/ on URL https://www.ajc.com/news/crime/riverdale-officer-arrested-on-false-imprisonment-charge-by-clayton-police/CUOUT5DIXNCVRDAHWLLSXN3ZYQ/
32,,,https://www.ajc.com/news/georgias-invasive-species-the-states-strangest-and-most-concerning-non-native-wildlife/RHSS3KJ2VRANDIJ3PJG5MU4R24/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/georgias-invasive-species-the-states-strangest-and-most-concerning-non-native-wildlife/RHSS3KJ2VRANDIJ3PJG5MU4R24/ on URL https://www.ajc.com/news/georgias-invasive-species-the-states-strangest-and-most-concerning-non-native-wildlife/RHSS3KJ2VRANDIJ3PJG5MU4R24/
33,,,https://www.ajc.com/education/update-atlanta-public-schools-to-approve-kemps-bonus-plan/LMPDJJXHHFAALEOGU6KA6Z7SWI/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/education/update-atlanta-public-schools-to-approve-kemps-bonus-plan/LMPDJJXHHFAALEOGU6KA6Z7SWI/ on URL https://www.ajc.com/education/update-atlanta-public-schools-to-approve-kemps-bonus-plan/LMPDJJXHHFAALEOGU6KA6Z7SWI/
34,,,https://www.ajc.com/education/get-schooled-blog/legislature-2024-make-schools-safer-healthier-for-kids-teachers/7PPWMSF3MNBCNAKZNFKBSTR6MY/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/education/get-schooled-blog/legislature-2024-make-schools-safer-healthier-for-kids-teachers/7PPWMSF3MNBCNAKZNFKBSTR6MY/ on URL https://www.ajc.com/education/get-schooled-blog/legislature-2024-make-schools-safer-healthier-for-kids-teachers/7PPWMSF3MNBCNAKZNFKBSTR6MY/
35,,,https://www.ajc.com/news/atlanta-news/former-assistant-alleges-sexual-assault-against-vin-diesel-in-atlanta-incident-suit-says/D76DFR7PGZCSBJ74QPLN2DJRJQ/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/atlanta-news/former-assistant-alleges-sexual-assault-against-vin-diesel-in-atlanta-incident-suit-says/D76DFR7PGZCSBJ74QPLN2DJRJQ/ on URL https://www.ajc.com/news/atlanta-news/former-assistant-alleges-sexual-assault-against-vin-diesel-in-atlanta-incident-suit-says/D76DFR7PGZCSBJ74QPLN2DJRJQ/
36,,,https://www.ajc.com/news/atlanta-news/former-assistant-alleges-sexual-assault-against-vin-diesel-in-atlanta-incident-suit-says/D76DFR7PGZCSBJ74QPLN2DJRJQ/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/atlanta-news/former-assistant-alleges-sexual-assault-against-vin-diesel-in-atlanta-incident-suit-says/D76DFR7PGZCSBJ74QPLN2DJRJQ/ on URL https://www.ajc.com/news/atlanta-news/former-assistant-alleges-sexual-assault-against-vin-diesel-in-atlanta-incident-suit-says/D76DFR7PGZCSBJ74QPLN2DJRJQ/
37,,,https://www.ajc.com/black-atlanta-culture/the-year-in-black-culture-things-we-hope-to-leave-in-the-past-on-new-years-day-2024/ISFSUXSFLZBXRGHU7LD3QZEADM/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/black-atlanta-culture/the-year-in-black-culture-things-we-hope-to-leave-in-the-past-on-new-years-day-2024/ISFSUXSFLZBXRGHU7LD3QZEADM/ on URL https://www.ajc.com/black-atlanta-culture/the-year-in-black-culture-things-we-hope-to-leave-in-the-past-on-new-years-day-2024/ISFSUXSFLZBXRGHU7LD3QZEADM/
38,,,https://www.ajc.com/news/atlanta-airport-blog/more-options-to-get-through-atlanta-airport-security-delta-is-expanding-digital-id/ENKROWQN3BCXJC6KXXG55FMGAU/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/atlanta-airport-blog/more-options-to-get-through-atlanta-airport-security-delta-is-expanding-digital-id/ENKROWQN3BCXJC6KXXG55FMGAU/ on URL https://www.ajc.com/news/atlanta-airport-blog/more-options-to-get-through-atlanta-airport-security-delta-is-expanding-digital-id/ENKROWQN3BCXJC6KXXG55FMGAU/
39,,,https://www.ajc.com/news/medical-device-producer-gerresheimer-expanding-georgia-footprint-creating-200-new-jobs/Z4BSO7OD7ZDTZGZQBG47RLE4GY/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/medical-device-producer-gerresheimer-expanding-georgia-footprint-creating-200-new-jobs/Z4BSO7OD7ZDTZGZQBG47RLE4GY/ on URL https://www.ajc.com/news/medical-device-producer-gerresheimer-expanding-georgia-footprint-creating-200-new-jobs/Z4BSO7OD7ZDTZGZQBG47RLE4GY/
40,,,https://www.ajc.com/news/medical-device-producer-gerresheimer-expanding-georgia-footprint-creating-200-new-jobs/Z4BSO7OD7ZDTZGZQBG47RLE4GY/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/medical-device-producer-gerresheimer-expanding-georgia-footprint-creating-200-new-jobs/Z4BSO7OD7ZDTZGZQBG47RLE4GY/ on URL https://www.ajc.com/news/medical-device-producer-gerresheimer-expanding-georgia-footprint-creating-200-new-jobs/Z4BSO7OD7ZDTZGZQBG47RLE4GY/
41,,,https://www.ajc.com/news/atlanta-news/roswell-man-to-forfeit-ferrari-and-lamborghini-in-health-care-fraud-plea-deal/G4D2JP7YQBADZJ6VCHYGYQAEKU/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/atlanta-news/roswell-man-to-forfeit-ferrari-and-lamborghini-in-health-care-fraud-plea-deal/G4D2JP7YQBADZJ6VCHYGYQAEKU/ on URL https://www.ajc.com/news/atlanta-news/roswell-man-to-forfeit-ferrari-and-lamborghini-in-health-care-fraud-plea-deal/G4D2JP7YQBADZJ6VCHYGYQAEKU/
42,,,https://www.ajc.com/news/as-td-jakes-takes-on-94-acre-fort-mcpherson-project-here-are-five-things-to-know/3N7TUBWEN5CHPJLDYASUXW6PX4/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/news/as-td-jakes-takes-on-94-acre-fort-mcpherson-project-here-are-five-things-to-know/3N7TUBWEN5CHPJLDYASUXW6PX4/ on URL https://www.ajc.com/news/as-td-jakes-takes-on-94-acre-fort-mcpherson-project-here-are-five-things-to-know/3N7TUBWEN5CHPJLDYASUXW6PX4/
43,,,https://www.ajc.com/things-to-do/atlanta-winter-guide/atlanta-is-nations-most-festive-and-affordable-city-for-christmas/MO2HJWPDIRFHFPOVCFSHWC747Q/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/things-to-do/atlanta-winter-guide/atlanta-is-nations-most-festive-and-affordable-city-for-christmas/MO2HJWPDIRFHFPOVCFSHWC747Q/ on URL https://www.ajc.com/things-to-do/atlanta-winter-guide/atlanta-is-nations-most-festive-and-affordable-city-for-christmas/MO2HJWPDIRFHFPOVCFSHWC747Q/
44,,,https://www.ajc.com/things-to-do/atlanta-winter-guide/atlanta-is-nations-most-festive-and-affordable-city-for-christmas/MO2HJWPDIRFHFPOVCFSHWC747Q/,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.ajc.com/things-to-do/atlanta-winter-guide/atlanta-is-nations-most-festive-and-affordable-city-for-christmas/MO2HJWPDIRFHFPOVCFSHWC747Q/ on URL https://www.ajc.com/things-to-do/atlanta-winter-guide/atlanta-is-nations-most-festive-and-affordable-city-for-christmas/MO2HJWPDIRFHFPOVCFSHWC747Q/
