,Title,Link,Content(RAW)
0,Secretary Blinken’s Meeting on Gaza with Joint Arab League-Organization of Islamic Cooperation Delegation,https://www.state.gov/secretary-blinkens-meeting-on-gaza-with-joint-arab-league-organization-of-islamic-cooperation-delegation/,"Secretary of State Antony J. Blinken met yesterday with the Foreign Ministers of Egypt, Jordan, Qatar, Saudi Arabia, and Türkiye, as well as a Palestinian Authority senior official, as part of a delegation representing the Arab League and the Organization of Islamic Cooperation. Secretary Blinken reaffirmed the United States’ support for Israel’s right to ensure Hamas can never repeat the October 7 attacks as well as the urgency of addressing humanitarian needs in Gaza, protecting Palestinian civilians from harm, preventing displacement, and containing further spread of the conflict. The Secretary discussed the U.S. commitment to achieving lasting peace and security in the region including through the establishment of a future Palestinian state alongside the State of Israel."
1,Secretary Blinken’s Meeting with Turkish Foreign Minister Fidan,https://www.state.gov/secretary-blinkens-meeting-with-turkish-foreign-minister-fidan-5/,"The below is attributable to Spokesperson Matthew Miller:

Secretary of State Antony J. Blinken met with Turkish Foreign Minister Hakan Fidan in Washington, D.C. Secretary Blinken and Foreign Minister Fidan discussed the Israel-Hamas conflict, focusing on efforts to ensure the conflict does not spread elsewhere in the region, the necessity of freeing remaining hostages, and the provision of humanitarian aid. The Secretary emphasized the importance of ratifying Sweden’s NATO accession without delay."
2,Secretary Blinken’s Meeting with Saudi Foreign Minister Prince Faisal bin Farhan,https://www.state.gov/secretary-blinkens-meeting-with-saudi-foreign-minister-prince-faisal-bin-farhan-2/,"The below is attributable to Spokesperson Matthew Miller:

Secretary of State Antony J. Blinken met yesterday with Saudi Foreign Minister Prince Faisal bin Farhan Al Saud. The Secretary affirmed the urgency of addressing humanitarian needs in Gaza, preventing further spread of the conflict, and reinforcing regional stability and security. Secretary Blinken also welcomed Saudi Arabia’s efforts to secure a durable peace agreement in Yemen, launch a Yemeni-Yemeni political dialogue under UN auspices, and ensure Yemeni actors remain focused on that effort. The Secretary also condemned recent attacks by the Houthis on commercial vessels operating in international waters in the southern Red Sea and emphasized that all partners should cooperate to uphold maritime security. Finally, the Secretary and the Foreign Minister affirmed their countries’ shared commitment, in coordination with international and regional partners, to end the devastating conflict in Sudan."
3,Secretary Blinken’s Call with ICRC President Spoljaric,https://www.state.gov/secretary-blinkens-call-with-icrc-president-spoljaric/,"The below is attributable to Spokesperson Matthew Miller:

Secretary of State Antony J. Blinken spoke with International Committee of the Red Cross (ICRC) President Mirjana Spoljaric Egger yesterday. Secretary Blinken emphasized the importance of ICRC’s humanitarian response to the conflict in Gaza. The Secretary and ICRC President also discussed efforts to strengthen civilian protections and expand the flow of humanitarian assistance throughout Gaza. The Secretary reiterated the call for the immediate release of all hostages and highlighted the need for the ICRC to be granted access to the remaining hostages. The Secretary thanked ICRC for delivering life-saving assistance and protection for civilians."
4,Readout of Secretary Raimondo’s Call with Minister of Trade of the Republic of Türkiye Omer Bolat,https://www.commerce.gov/news/press-releases/2023/12/readout-secretary-raimondos-call-minister-trade-republic-turkiye-omer,"Today, Secretary Gina M. Raimondo spoke with the Republic of Türkiye Minister of Trade Omer Bolat to strengthen U.S.-Türkiye bilateral and commercial relations. Secretary Raimondo congratulated Minister Bolat on his appointment and affirmed the Department’s support for increased U.S.- Türkiye commercial engagement. The two discussed ongoing collaboration in aerospace, the digital economy and energy, and Secretary Raimondo emphasized the potential for U.S. green technology to contribute to shared climate change goals. The Secretary also highlighted the Department’s largest annual trade conference, Trade Winds, that will take place in Istanbul in May 2024 and invited Minister Bolat to meet in person in Washington, D.C."
5,Battle Creek VA Outreach team conducted over 70 PACT Act information events,https://news.va.gov/126540/outreach-team-conducted-70-pact-act-events/,"Several staff members of Battle Creek VA were honored at the 67th Military Appreciation luncheon hosted by the Battle Creek Chamber of Commerce Nov. 9. Employees from Medical, Eligibility/Enrollment and Veterans Transportation Service accepted the award before an audience of Veterans, service members and local dignitaries from communities across southwest Michigan.

They were part of the PACT Outreach Team that conducted over 70 PACT Act Information events that helped enroll Veterans for the care and benefits they deserve.

Shortly after the passage of the act, Battle Creek VA’s PACT Act Outreach Team embarked on a mission to ensure that no Veteran in their 21 county catchment area faced unnecessary barriers to enrollment and screening.

They led a thorough assessment, identifying and dismantling obstacles, before pushing a communication plan that focused on radio, social media, email and post cards to reach their primarily rural Veterans.

“Phenomenal work making Veterans aware of benefits they earned.”

“The outreach team did phenomenal work reaching Veterans in the community and making them aware of the benefits they have earned,” said Brian Pegouske, Communication & Community Engagement. “We’re really proud of the gains we made this year in Veteran awareness.”

PACT Act Outreach Team

Traveling to senior centers, county offices and private venues throughout southwest Michigan, the PACT Act Outreach Team brought details about the expanded eligibility and benefits to Veterans of many different eras. Veteran Service Organizations, on-site health care enrollment and toxic agent screening were available to Veterans during the events.

Thanks to their hard work, Battle Creek VA enrolled 2,331 new Veterans last year, which was an increase of over 600 versus the previous year. Over 26,000 Toxic Exposure Screenings have been conducted as well, surpassing the goal by 111%, and with an average of 88% of follow-ups completed within 30 days.

The luncheon included members of the Army and Navy Reserve, Army and Air National Guard, VFW and other community partners. It was a celebration of the sacrifice and service our Veterans in southwest Michigan have made throughout 2023 and the Veteran Support available to these Veterans in the local community."
6,Healing hooves: Equine therapy raises spirits of Veterans,https://news.va.gov/126535/equine-therapy-raises-spirits-of-veterans/,"Ranger and Dare are in the therapy business. Like many of their peers, they spend their days working with kids, people with disabilities and Veterans… when not eating grass and alfalfa.

Ranger and Dare are American miniature horses for a North Texas non-profit that brings equine therapy to those who cannot travel to their home stable. Their audience on a recent sunny day at Dallas VA were Community Living Center (CLC) residents as part of their recreational therapy program.

Equine therapy and visits from Ranger and Dare are part of different therapeutic modalities VA recreation therapists bring to Veterans receiving nursing home level of care, assistance with daily activities and medical care.

“Animals aid in healing emotional conditions.”

“These visits bring invaluable benefits to our patients,” said Amor Aguilera, recreation therapist. “Animals can aid in healing emotional and behavioral conditions.”

Equine therapy fosters community engagement, promotes resilience and raises the spirits of CLC residents, their families and employees. Engaging with animals like Ranger and Dare can lower blood pressure and bring child-like feelings of happiness.

“I loved being with them because they love the attention I give them,” said Judith Collins, Army Veteran and CLC resident (pictured above). “After my car accident, I feel a real connection with these horses.”

Therapists for these visits believe that horses keep us grounded in the present moment. Visits like these motivate residents to interact with their surroundings while building trust.

“Just being around them helps bring calm and peace to Veterans that interact with them,” said one therapist. Visits by Ranger and Dare cement the partnership that recreation therapists and VA have with their patients, and it brings a unique perspective regarding the social, cognitive, physical and leisure needs of each Veteran."
7,Molten Monitoring: How Cal OES Tracks Local Volcanos,https://news.caloes.ca.gov/molten-monitoring-how-cal-oes-tracks-local-volcanos/,"While often overshadowed by the seismic activity associated with fault lines, California is home to several volcanos that demand careful monitoring. The California Office of Emergency Services (Cal OES) plays a crucial role in keeping a watchful eye on these dormant giants, ensuring the safety and preparedness of communities across the state.

While many of California’s volcanos are dormant, their potential for activity poses a risk that cannot be ignored. See a list of volcanos in California.

Volcanos in California

Volcanic eruptions in the state are not currently imminent, but in addition to fires, floods, earthquakes, and tsunamis, Cal OES’ Seismic Hazards Branch monitors any possible volcanic threats from the eight volcanic areas classified as moderate, high, and very high threat in the state.

Volcanic eruptions and earthquakes are a way for Earth to release pressure and heat, much like a safety valve. A volcano is basically a vent, or opening, in the earth’s crust from which hot molten rock, gases, and volcanic ash escape to the surface.

Prepare your Home and Family

Preparing your family for a possible volcanic eruption will not only help protect your health and property, but also may be the difference between life and death. Below are steps you can take to minimize impacts to your family and home in the event of volcanic eruption:

Know where the active volcanos are in your area and how close you are to them. Consider anyone with functional and/or access needs, children, pets, and livestock. Create an emergency evacuation plan with your family. Review it often so that each person knows what to do, how to find each another if you’re apart, and how to contact neighbors and/or emergency services if you cannot get away from the property using your own transportation. Create an emergency kit for your car including maps, tools, a first aid kit, a fire extinguisher, flares, additional non-perishable food, booster cables, sleeping bags and/or emergency blankets, and a flashlight. If there are disaster warning sirens in your area be aware of what they sound like. When a volcanic eruption occurs, you’ll want and need to listen for them. Know how to turn off all utilities. Obtain proper respiratory protection such as an air purifying respirator, also referred to as an N-95 disposable respirator. Review your homeowner’s insurance policy, and if necessary, increase your level of coverage to ensure you are covered adequately.

To learn more about our local volcanos and other tools and resources available, visit the Cal OES Seismic Hazards Branch page here."
8,Governor Hochul Signs Legislation to Strengthen Public Safety,https://www.governor.ny.gov//news/governor-hochul-signs-legislation-strengthen-public-safety,"Governor Kathy Hochul signed legislation S.6238A/A.5791A to clearly define the term “mass shooting” to assist emergency response measures and ensure communities have access to the emergency funding and resources needed in the aftermath of a mass shooting.

“Protecting the safety and well-being of all New Yorkers remains my top priority,"" Governor Hochul said. ""We have made significant progress to address the scourge of gun violence affecting our communities, making record-level investments and leading the nation in passing prevention measures. But when tragedies do occur, this legislation will help ensure our communities receive the emergency response and funding they need in the aftermath of a mass shooting.”

Based on an agreement with the Legislature, New York will define the term “mass shooting” consistently with the Federal Bureau of Investigation, meaning that a shooting incident will constitute a mass shooting if there are at least four people murdered with a firearm, shotgun, or rifle.

State Senator Zellnor Myrie said, “Too often, victims of mass shooting incidents in communities like ours aren't given the resources and support they need to heal and recover. This new law will clarify the definition of a mass shooting, to ensure an equitable and consistent response. I'm grateful to Governor Hochul and Assembly Member Monique Chandler-Waterman for making this new law a reality.”

Assemblymember Monique Chandler-Waterman said, “New York State took a significant step forward in responding to the horrific epidemic of gun violence in our state, by passing, and signing into law, “A.5791A.” I want to thank Governor Hochul, my Senate sponsor, Senator Zellnor Myrie, my colleagues in the New York State Legislature, and my grassroots community partners of AD 58 Public Safety Taskforce for their support and partnership in passing this legislation. As the co-chair of the Anti-Gun Violence Subcommittee of the Black, Puerto Rican, Hispanic, and Asian Legislative Caucus, I am committed to reducing gun violence and providing proper and timely care to the victims and families affected by this violence. This Bill is the commencement not the conclusion of our work to address gun violence. I look forward to building upon this legislation in the future to continue to bring the needed resources in our communities to address this epidemic of gun violence.”"
9,Governor Hochul Signs Legislation to Support Victims and Survivors of Crime,https://www.governor.ny.gov//news/governor-hochul-signs-legislation-support-victims-and-survivors-crime,"Governor Kathy Hochul signed legislation S.214A/A.2105A to expand eligibility to victim compensation funds for victims and survivors of crime. The bill removes the requirement that victims provide documentation from law enforcement in order to be eligible for compensation and expands the window of time in which a victim can file a compensation claim.

“We’re making it easier for victims and survivors of crime to access the compensation available to them,” Governor Hochul said. “As victims recover, this legislation will support New Yorkers in their time of need and ensure that they can receive the benefits they deserve.”

Legislation S.214A/A.2105A expands eligibility for victims and survivors of crime to access victim compensation funds by removing the requirement that victims must report to law enforcement and provide corresponding documentation to be eligible to receive compensation. The legislation also allows victims to provide alternative forms of evidence that would show that a qualifying crime occurred.

State Senator Zellnor Myrie said, “I'm proud to have sponsored this legislation, which cuts the red tape for victims and survivors of crime and helps ensure they will get the resources to which they are entitled. When an act of violence does occur, victims and their families need our support- not red tape. I thank my partner Assembly Member Demond Meeks and Governor Hochul for standing with crime victims and survivors.”

Assemblymember Demond Meeks said, “Thank you, Governor Kathy Hochul, for ensuring that all survivors in our state receive fair access to victim compensation by signing the Fair Access to Victim Compensation Act into law. This legislation will remove the unjust barriers victims and survivors of crime face when trying to access meaningful resources and will expand access to the victim compensation funds survivors need to rebuild their lives after trauma. As the Assembly sponsor of this legislation, it has been a privilege to work alongside Senate sponsor Zellnor Myrie, advocates, and survivors to get this crucial piece of legislation across the finish line.”"
