,Local Site,Title,Link,Content(RAW)
0,[Georgia] https://www.ajc.com/news/,"Man charged with murder, accused of depriving 3 kids of food, water in Atlanta",https://www.ajc.com/news/crime/man-charged-with-murder-accused-of-depriving-3-kids-of-food-water-in-atlanta/YGHHPKDUU5CLVBELUDIPRA67BQ/,"She was identified by officials as Treasure Mcweay.

According to the warrants, Treasure Mcweay “was extremely underweight, and her face appeared to be sunken in around the eyes and cheekbones.” A Dec. 13 autopsy revealed that the child weighed only 24 pounds and had just 5 milliliters of liquid in her stomach, the warrant adds. Officials considered her to be “extremely malnourished and dehydrated.”

Two other children, ages 4 and 3, were found to have been living with Rodney Mcwaey, and the warrant accuses him of not providing “sustenance in the form of food or water for any of his three children.”

Those children were hospitalized for extreme malnourishment and severe dehydration, the warrant details. Doctors at Hughes Spalding also confirmed with police that Mcwaey failed to provide one of his kids’ prescribed seizure medication, officials said.

Police interviewed Mcwaey and uncovered that he never allowed the children to go outside and did not permit them to leave their rooms without his permission, the warrant said. He also told police that if the kids needed something, he would take it to them.

During a search warrant of Mcwaey’s home, police said they found only expired eggs and expired milk. The kids’ rooms were also searched and no clothing was discovered, the warrant states. Several cameras, including some facing the children’s beds, were found throughout the house, officials said.

Mcwaey did not have custody of his children, authorities said.

On July 6, he is accused of kidnapping all three kids from a residence in Aberdeen, Maryland, arrest warrants reveal. The document states that the mother was the sole legal guardian and Rodney Mcwaey prevented family members, the kids’ mother and Georgia Division of Family and Children Services employees from speaking to the children.

— Please return to The Atlanta Journal-Constitution for updates."
1,[Georgia] https://www.ajc.com/news/,Pilot identified after deadly crash at Lake Lanier resort in Hall County,https://www.ajc.com/news/crime/breaking-man-killed-in-plane-crash-at-resort-on-lake-lanier-in-hall-county/VUW5O6X53BE77OPE7GBXMDIWEM/,"A man was killed Thursday afternoon when a plane crashed at a resort on Lake Lanier in Hall County, deputies said.

The single-engine Beechcraft Bonanza went down around 5:30 p.m. in a parking lot along Lanier Islands Parkway near Pine Cone Drive at the Lanier Islands resort. The man killed was the only person aboard the plane, authorities confirmed.

He was identified as Howard Lee Joe, 60, of Dunwoody, by the sheriff’s office. Officials said no one on the ground was injured."
2,[Georgia] https://www.ajc.com/news/,"‘No such thing as a false fire alarm,’ Ga. Tech fire safety manager says",https://www.ajc.com/news/crime/no-such-thing-as-a-false-fire-alarm-ga-tech-fire-safety-manager-says/3WP5PGKTERFILDHGRDSC22T34Q/,"For residences without sprinkler systems, functioning smoke detectors are essential to a fast fire rescue response. A working smoke detector raises the chance of surviving a house fire by 85%, said Burton Clark of the Fire Service Psychology Association. Evacuating a home before help arrives is also critical to improving outcomes not just for the residents, but for the crews rushing into the flames to try to rescue them.

“Do not take any fire alarms as being false. There’s no such thing as a false fire alarm. There’s something that made the fire alarm activate,” Georgia Tech Fire Safety Manager Bridget Mourao said during the demonstration. “It takes less than two minutes for a fire to become deadly, so getting out is the only way to stay alive.”"
3,[Georgia] https://www.ajc.com/news/,"After metro Atlanta firefighters come to the rescue, they face own traumas",https://www.ajc.com/news/crime/after-metro-atlanta-firefighters-come-to-the-rescue-they-face-own-traumas/A4RTBOA2ZRDEBP4SBIOR6OW4L4/,"He called the experience exhilarating. But as days went by, the trauma he witnessed began to take a toll on him, and Daniels said he wasn’t sure how to deal with his emotions.

That’s the reality of being a first responder, facing traumatic events and withholding emotions to do the job. But sometimes the trauma goes home with you. For years, it’s a topic that was rarely addressed.

Firefighters face an increased risk of suicide due to job-related stress and depression, a 2021 federal study found. Some organizations report that more than 100 firefighters nationwide commit suicide each year, but federal officials acknowledge potential data gaps as some departments may be hesitant to share figures due to the stigma and patient confidentiality. Credit: John Spink Credit: John Spink

In recent years, firefighters have been encouraged to discuss workplace trauma, which officials claim helps them process it instead of letting it smolder. Authorities in Atlanta and DeKalb said firefighters will debrief after every call and are urged to seek extra support from peers, leadership, chaplains and other resources such as therapy.

Carla Moore, chief psychologist for Atlanta’s Public Safety Behavioral Health Wellness Unit, said firefighters experience increased stress during emotionally intense calls, particularly those involving death or children. First responders need to address their feelings to maintain mental stability and well-being, Moore said.

“They usually talk about it within the station, not ever really processing it in a therapeutic fashion or a way that kind of opens it up, because to open it up means I actually have to talk about it more. So usually it’s repressed or just completely ignored altogether,” she explained.

What triggers stress

Starting as a recruit with the Danville Fire Department in Virginia in 1983 and later joining Atlanta Fire Rescue in 2005, Roosevelt Johns anticipated facing trauma daily and assisting people on their worst days.

Sometime in the late 1990s, Johns responded to a fiery crash in Danville involving a teenager who was killed. His child was about the same age and Johns couldn’t help but think: That could be my child.

That call has stuck with him ever since. He described it as a moment he realized the mental impact of being a firefighter.

“We say often that the firefighter who comes in on the first year is a different person after about five years,” Johns said.

Johns, who since 2013 has been serving as a chaplain with the Atlanta fire department, said there used to be a stigma about being impacted by a call, and openly discussing it was not encouraged. Firefighters were expected to develop what he calls “tough skin” and not let incidents weigh them down.

“One of the things that I think is paramount is that we talk about it because historically we did not,” he said. “But nowadays, we do try to encourage people to at least talk about those circumstances among your peers.”

Johns serves as a listening ear to crew members after emotionally intense calls, and has had countless firefighters come to him regarding changes in personality and relational issues.

Understanding the impact

Moore said not processing one’s emotions after a traumatic event is usually how prolonged stress, behavioral and mental health conditions, or other unhealthy habits begin.

According to a 2018 paper by the Substance Abuse and Mental Health Service Administration, about 30% of first responders develop behavioral health conditions, such as depression and post-traumatic stress disorder, compared to 20% of the general population.

Moore emphasized the importance of new firefighters knowing what to expect and how to work through trauma. She said firefighters undergo mental wellness screenings, are provided psychoeducation, and receive external referrals for therapists and other medical professionals.

“The goal is to from the minute a person walks in as a recruit to get them to understand, just like you have to stay physically fit so that you can carry that hose, you have to stay mentally fit in order to sustain your mental health in doing this job,” she said.

Personality changes are often the first sign a firefighter is dealing with unresolved trauma. Officials explained that getting to work late, appearing disheveled, isolating oneself and having a short temper are some indicators. Johns and Daniels said that a firefighter may not realize that stress has changed them, but those close to them will notice.

Though Daniels and Johns both said they regularly speak with close friends after tough jobs, Daniels claimed that his personality has changed. When faced with a problem, he immediately wants to fix it, fearing that something worse could come out of it.

“I’m a problem solver. Once we get on scene, people expect us to have a solution. ... When I’m presented with a problem, I immediately attempt to come up with some type of fix for it,” he said, adding that “in a family situation or family household, that can be a problem sometimes.”

Resilience

Daniels said he often becomes a counselor to victims and their families, helping them comprehend the tragedy they’ve faced.

“We get the brunt of the gore, the mental stress that goes with it. We have the family members screaming in the background, we have the kids sitting on the couch not understanding why their parent or their loved one isn’t moving or isn’t responding,” Daniels said.

Just like victims have to come to terms with death in those circumstances, Johns explained that firefighters must recognize their own limits: It’s not always possible to save everyone. Guilt is a feeling Johns said many firefighters struggle with at the start of their careers.

Overcoming those emotional challenges is eased by engaging in self-care and spending time with friends and family. With the right tools in place, most firefighters are resilient, officials agreed.

“We as firefighters, we are very resilient and we understand that this is something that we chose to do,” Daniels said. “When duty calls, we are going to respond and respond appropriately because it’s not about us, it’s about the person who called us for help.”"
4,[Georgia] https://www.ajc.com/news/,"Former assistant alleges sexual assault against Vin Diesel in Atlanta incident, suit says",https://www.ajc.com/news/atlanta-news/former-assistant-alleges-sexual-assault-against-vin-diesel-in-atlanta-incident-suit-says/D76DFR7PGZCSBJ74QPLN2DJRJQ/,"Attempts to contact Diesel and his companies were not immediately successful.

“Ms. Jonasson was unable to escape and closed her eyes, scared of angering Vin Diesel by rejecting him further and trying to dissociate, wishing the assault would end,” the lawsuit states.

Claire-Lise Y. Kutlay, an attorney for Jonasson, told The Atlanta Journal-Constitution that Jonasson was initially too afraid to report the alleged assault. Jonasson was also made to sign a nondisclosure agreement as an employee of Diesel’s One Race production business, Kutlay said.

“She was afraid what it would mean for her career in the film industry, which has a pattern of protecting powerful men and silencing people who do speak up about sexual abuse that they have received or been subjected to,” Kutlay said Thursday. “She has made the very courageous decision to file a lawsuit so that she can seek justice and hold Vin Diesel and the others that permitted and covered up the sexual assault accountable for their actions.”

Diesel’s sister, Samantha Vincent, has also been sued by Jonasson, case records show. Vincent is the president of Diesel’s production company that employed Jonasson, and was the one who fired Jonasson shortly after the alleged assault, Kutlay said.

One Race Productions Inc. and One Race Films Inc. are also named as defendants in the case.

Jonasson, a California resident, was over the age of 18 when the alleged assault occurred, Kutlay said. She said Jonasson wants to prevent other women from experiencing what she went through.

Jonasson alleged that she was hired by One Race in September 2010 as an assistant working directly for Diesel. She said her first assignment was to travel to Atlanta for the filming of “Fast Five,” the fifth movie in the “Fast & Furious” franchise.

On Sept. 10, 2010, Diesel was allegedly entertaining multiple women at his hotel suite. Once the other women had left, Diesel attempted to undress Jonasson, she alleged.

After the alleged assault, Diesel said “Good job,” to Jonasson before leaving the suite, per the complaint. Within hours, Jonasson had been fired by Vincent, the lawsuit states.

“The message was clear,” the complaint states. “Ms. Jonasson was fired for courageously resisting Vin Diesel’s sexual assault, Vin Diesel would be protected, and his sexual assault covered up.”

Jonasson was empowered to sue in light of the “#MeToo” and “Time’s Up” movements exposing sexual assault, her lawsuit states. She said she felt protected by the federal Speak Out Act as well as California law allowing her to bring her otherwise untimely claims.

The lawsuit includes civil claims of sexual battery, sex discrimination, harassment, retaliation, and wrongful termination."
5,[Georgia] https://www.ajc.com/news/,"UPDATE: Atlanta teachers, staff will get Gov. Kemp’s bonus after all",https://www.ajc.com/education/update-atlanta-public-schools-to-approve-kemps-bonus-plan/LMPDJJXHHFAALEOGU6KA6Z7SWI/,"“All eligible Atlanta Public Schools (APS) employees have already received the state-referenced employee retention supplement in the form of the Mid-Year Holiday Retention Stipend, included in the December 14, 2023 paycheck,” the message read.

The school district changed course Thursday evening, hours after Georgia School Superintendent Richard Woods sent a letter to Atlanta Public Schools interim Superintendent Danielle Battle pushing her to reconsider the district’s decision.

“The intent of Atlanta Public Schools and the Atlanta Board of Education was to reward our hardworking teachers and school staff with a bonus before the holiday break, while also being fiscally responsible stewards of taxpayer funds,” the district said in a statement. “We did that as a district on December 15th and we are committed to passing along any additional funds once funds are disbursed for the Governor’s proposal and clarification is provided on which categories of employees should be covered by the bonus.”

APS initially said the money Kemp approved for the bonuses would be used for other district priorities.

“In this instance, we preemptively moved to show our appreciation to staff by asking our Board to approve the usage of fund balance for all employees in early December so that we could get our payments out in advance of the holiday break,” the district said in a statement earlier this week to The Atlanta Journal-Constitution. “We greatly appreciate the Governor’s willingness to use the state fund balance to share in the cost by providing stipends for our teachers, as this allows us to use our fund balance for other educational needs. Since we used district fund balance to secure the appreciation payments made to all eligible employees on the December 15th payroll, the state funding announced today will be used in support of other APS priorities.”

In his letter to Battle, first reported Thursday by the AJC, Woods said he was “baffled” by the district’s ability to predict the exact timing and amount of the bonus.

“Let me be very clear: the intent of the state’s $1,000 retention pay supplement is not to backfill the Atlanta Public Schools budget or ‘share in the cost’ of additional recognition already provided by districts to teachers,” Woods’ letter reads.

Lisa Morgan, the president of the Georgia Association of Educators, said it’s puzzling that APS didn’t wait on guidance from Woods’ office before notifying staff they wouldn’t receive the money.

“It’s very disappointing that a system would state — before they have all the details — that educators are not going to receive the bonus that was announced and intended for them,” Morgan said.

Woods ended his letter to Battle with a plea to change the district’s decision.

“The state is providing a $1,000 retention payment to teachers and support staff, and it is my expectation that they will receive it,” he said. “Anything less is a disservice to the teachers and staff whose efforts in the classroom — far more than anything that takes place at the state or central office level — are the reason our students succeed.”"
6,[Georgia] https://www.ajc.com/news/,The year in Black culture: things we hope to leave in the past on New Years Day 2024,https://www.ajc.com/black-atlanta-culture/the-year-in-black-culture-things-we-hope-to-leave-in-the-past-on-new-years-day-2024/ISFSUXSFLZBXRGHU7LD3QZEADM/,"Happy Holidays!

What is something w leave in 2023 and not revisit in 2024?

Writer and actor strikes! Pay the scribes and thespians what they deserve, and don’t let artificial intelligence devalue their craft.

Also, A.I., please don’t take my reporter gig. — Gavin Godfrey

Bad service brunch culture, where folks care more about being seen a certain way than hanging out with friends and eating good food with good service. — Mirtha Donastorg

Misinformation, but I know that won’t happen. — DeAsia Paige

Credit: AP Credit: AP

Rappers dying. It’s become way too normal for young Black people to be killed violently or die from drug overdose. Celebrity status doesn’t make it more important, but when so many people look up to these figures and they die so casually it makes me afraid that we’re missing an opportunity to change course. — Mike Jordan

Credit: Michael Blackshire Credit: Michael Blackshire

What was something people should have paid more attention to in 2023?

The continued wealth gap that cloaks the fact that, while Atlanta is a Black Mecca, a lot of people are truly struggling and living day-to-day in certain parts of town — Ernie Suggs

Credit: arvin.temkar@ajc.com Credit: arvin.temkar@ajc.com

The Fearless Fund case. The potential implications of the lawsuit are wide-reaching. — Mirtha Donastorg

Credit: Publicity photo. Arian Simone, Keshia Knight Pulliam Credit: Publicity photo. Arian Simone, Keshia Knight Pulliam

The APS school board race’s impact on Black families. — Gavin Godfrey

Atlanta’s amapiano scene, which I plan to write a story about soon. — DeAsia Paige

The fact that the Michelin Guide is now in Atlanta. Keith Lee took all the oxygen out of the room when his reviews began showing up right after the Michelin ceremony, so everyone seemed to care less than they might have otherwise. And we know that there was an exchange of money for the Michelin Guide to come to Atlanta but I don’t think people stopped to ask why Atlanta (and not all of Georgia), and the answer might be tied to what’s going to happen here in 2026... — Mike Jordan"
7,[Georgia] https://www.ajc.com/news/,"Senate won’t confirm Smyre as ambassador, returns nomination to Biden",https://www.ajc.com/politics/senate-wont-confirm-smyre-as-ambassador-returns-nomination-to-biden/M54DRGQJPZDS7DLLLJSA2TTRFQ/,"The president reappointed Smyre to the post that same month, but his nomination lingered once again without action. His name was on a list of more than 50 nominations the Senate rejected Wednesday as one of it’s last actions before adjourning for the year.

At least one other person with Georgia ties was also on that list.

Roy Minter Jr. was Biden’s nominee to serve as U.S. Marshal for the Southern District of Georgia. Minter was serving as chief of Savannah police at the time of his appointment in 2022, but he resigned to focus on the anticipated post.

The White House has not yet said whether Smyre, Minter or any of the others on the list will be reappointed.

Smyre has spent the past several months focusing on a different Biden-appointed post, although one that did not require Senate confirmation.

He is one of the United States’ five delegates to the United Nations General Assembly. The yearlong role requires frequent trips to U.N. headquarters in New York City."
8,[Georgia] https://www.ajc.com/news/,Clayton County police ID wanted suspect who fled traffic stop,https://www.ajc.com/news/crime/no-injuries-reported-after-clayton-officers-fire-at-armed-suspect/UW5F3GBX35GAFKEWF2LJAISURQ/,"The incident began when officers stopped a car near the intersection of Upper Riverdale Road and Tara Boulevard just after 11:30 p.m. The driver, later identified as Turner, stepped out of his car at the request of the officers, then sprinted away, according to police.

They gave chase and said they saw Turner pull a handgun from his waistband as he ran. The officers pulled their own guns and fired at the suspect, but he continued to run and did not appear to be hit.

Turner evaded the pursuing officers and remains at large. A gun was found at the scene where the officers fired, police said.

Turner is wanted on at least one count of aggravated assault, according to police, who also released a description of several of his tattoos. He has a breast cancer ribbon and a teardrop tattooed on the right side of his face. Above his right eye, he has a tattoo of a bird with lips. Turner also has the word “brother” tattooed on his right hand and “keeper” on his left hand.

— Please return to The Atlanta Journal-Constitution for updates."
9,[Georgia] https://www.ajc.com/news/,Man gets life in 2022 triple shooting that left 2 friends dead in Cobb,https://www.ajc.com/news/crime/man-gets-life-in-2022-triple-shooting-that-left-2-friends-dead-in-cobb/HZ6RHAGM3BE3LF5ETIXRFLQNI4/,"When officers entered the apartment, officials said they found Jeremy Davis, 27, and Lena Wolfe, 24, dead. Davis was a father to two young boys and Wolfe was a mother of three.

“It takes an especially evil and heartless man to slaughter two parents and attempt to kill a third. ... It is sickening that these five boys are left only with memories of their mom and dad,” Senior Assistant District Attorney Stephanie Green said.

Credit: Cobb County Sheriff's Office Credit: Cobb County Sheriff's Office

The investigation uncovered that Piercefield was friends with Davis and Wolfe, and they had been together prior to the killings. Piercefield and Wolfe took Davis to the Westwood apartment, which belonged to the surviving victim, around 2:30 a.m. and then left the complex, authorities stated.

At around 4:10 a.m., Piercefield and Wolfe returned “unannounced and for reasons unknown,” the district attorney’s office said. The two went into Davis’ bedroom and gunfire went off shortly after.

The surviving victim went to check on the three, but Piercefield then turned the gun on her, shooting her twice in the eye, according to law enforcement. Piercefield fled the apartment complex shortly before the woman called 911.

The district attorney’s office said Piercefield used two guns and fired at least eight rounds. All three victims were unarmed.

Piercefield was arrested a day after the shooting with the help of the Paulding County SWAT team.

He also faces murder charges in a double homicide in South Carolina, according to the district attorney’s office. No details on that homicide have been released by officials in Cobb."
