,Title,Link,Content(RAW)
0,Secretary Antony J. Blinken With Gayle King and Charles Barkley of CNN’s King Charles,https://www.state.gov/secretary-antony-j-blinken-with-gayle-king-and-charles-barkley-of-cnns-king-charles/,"QUESTION: Mr. Secretary, thank you very much. We’re very glad that you’re on the program tonight. We’ve been looking forward to this conversation, haven’t we, Charles?

QUESTION: This is pretty special.

QUESTION: Yeah, we think it’s very special.

SECRETARY BLINKEN: Great to be with both of you. Gayle, Charles, thanks for having me.

QUESTION: Yes. We feel that too. Let’s talk about the hostages, if we could. The talks have broken down, the war has resumed, and of course everybody’s concern worldwide is about the fate of the hostages. I realize it’s all hands on deck; all countries are working to secure their hostages, to get them home safely, to get all of the hostages home. But I’m wondering, is the Biden administration doing anything specifically to get the release of the American hostages, realizing we want all the hostages home?

SECRETARY BLINKEN: Gayle, we’re at this every single day, and it’s my number one responsibility – I know the President feels this, his number one responsibility – to look out for any American who’s in harm’s way abroad, and especially those who are being held hostage, being held captive in some way. I’ve met with the families. I’ve heard directly from them, and that’s the thing that motivates me the most. We will not rest until we get every single one.

QUESTION: Yeah, it’s not enough – all the families. I always say this, Mr. Secretary, that for all these hostages, they’re numbers for some people, but for the family members they are somebody’s everything. So can you share with us —

SECRETARY BLINKEN: Absolutely.

QUESTION: — if you can, specifically what you guys are doing?

SECRETARY BLINKEN: Look, you’ll understand I can’t get into the details because this is literally going on daily and even more than daily, sometimes even hourly, trying to find a way, an angle to get this – to get this restarted. And you’re exactly right: These are not – it’s not a question of numbers; these are real people, real lives, real families whose lives have been torn upside down. I’ve got photographs of all of them. It’s real for me, it’s real for the President, and we’re on this.

Unfortunately, Hamas gets the vote, and Hamas stopped releasing hostages. It reneged on its commitments to Israel and to everyone else concerned. They chose to end this process of releasing hostages. They need to choose to start it again.

QUESTION: You asked Israel to take precaution as far as civilians in Gaza. Is that actually possible?

SECRETARY BLINKEN: Charles, I think it’s important to do two things. First, we’ve got to put this in perspective. What happened on October 7th is something I’ve never seen in the 30 years that I’ve been doing this professionally, and for that matter, the 50 years or so that I’ve been going to Israel in one way or another. Children executed in front of their parents. Parents executed in front of their children. Families burned alive. You heard yesterday about the horrific sexual violence, the rapes of so many young women. What was done deliberately, intentionally, with the brutality that really I’ve encountered almost nowhere else in the many years that I’ve been doing this.

So, and then you have this terrorist group, Hamas, do that, retreat to Gaza, and intentionally embed itself with civilians, with innocent men, women, and children – in and under apartment buildings, in and under hospitals, in and under mosques, in and under schools. So it’s very, very challenging for Israel to do what it needs to do to try to make sure that this never happens again, and getting at Hamas.

But having said that, and as we’ve said from day one, they nonetheless have an obligation to do everything possible to protect civilians, to distinguish between terrorists and innocent men, women, and children. And this is something that we’ve been on.

QUESTION: And that point doesn’t seem to be going so well, Mr. Secretary, about keeping the civilians safe, because the civilians are dying, including thousands of children. And I think that’s what’s so heartbreaking for everybody around the world. What happens —

SECRETARY BLINKEN: It’s gut-wrenching.

QUESTION: Yes. Yes.

SECRETARY BLINKEN: It’s gut-wrenching for all of us. But what we’re seeing now is we’re seeing some, I think, important steps being taken as they’re operating, they’re beginning to operate in the south of Gaza after operations in the north. And in the south, what we’re seeing – and I said to them very clearly when I was there just a week ago: We cannot have a repeat of what happened in the north in the south in terms of harm being done to civilians, and also making sure that humanitarian assistance is getting to people who need it, who are in desperate need of food, of water, of shelter.

So what we’re seeing is areas clearly designated by Israel that are safe areas where there’s not going to be firing, or the military. We’ve seen efforts to make sure that people know that they need to move and not in – not the entire city, but just discrete neighborhoods. So that’s positive. On the other hand, there’s more that has to happen, that needs to be done: making sure that people have safe corridors in order to get from areas that could be in danger to places where they’ll be safe; making sure that those areas where they’re going to have the proper resources, have the food, have the water, have the medicine to care for them while they’re in those areas. So there are a number of things that that need to happen. We’re on this with them every single day.

QUESTION: My son-in-law is an amazing man and a great husband. He’s also Jewish, and you’re Jewish. He’s taken this Israel thing very personally. And how are you feeling? How does it affect you? Because he’s struggling. How do – you as a Jewish man, how are you handling the entire situation mentally?

QUESTION: And the stepson of a Holocaust survivor too, which I think adds another layer of pain in this particular story.

SECRETARY BLINKEN: Well, of course it’s affected me personally, and I’ve talked about that a little bit. It’s affected me personally because, yes, my late stepfather survived the Holocaust. He was in the concentration camps in Majdanek and Dachau and Auschwitz. And then my father’s father, in a different generation at the turn of the last century, got chased out of actually what’s now Ukraine by pogroms that were designed to kill or chase Jews away.

So when I saw what happened on October 7th, of course it had a personal resonance. It had a resonance that goes to the history of the Jewish people, especially by the nature, the savagery of the attacks that were committed. But having said that, I’m an American. I have the awesome responsibility and privilege of being Secretary of State and representing all of the American people around the world on behalf of the President. And as I’m doing my job to the best of my ability, I’m trying to make sure that I’m reflecting America’s interests, America’s values, and doing what’s right for our country.

QUESTION: How safe – how safe – two questions. How safe are Jewish students in college? And where is the line between hate speech and freedom of speech?

SECRETARY BLINKEN: Charles, we’re seeing this every day play out on our campuses. And while I’m focused on the world beyond our borders, like anyone else, I’m reading, hearing about what’s happening on some campuses, talking to my own relatives who have kids who are college age who’ve been on the receiving end of this. And it’s deeply, deeply disturbing, and more, to see some of the hate that we’re hearing on college campuses, the expressions of vitriol, the intimidation of students just for being who they are, and that’s something that is not entirely new, but it’s sort of come out from beneath the rock since October 7th.

And by the way, I’m also deeply disturbed about the same kind of hatred and vitriol being directed against Muslim Americans, Arab Americans. We see this in all different directions. And we have to get back to a place where people on all of our campuses can feel safe being who they are, what they are, and saying what they believe.

QUESTION: I think you raise a really good point about feeling safe and being able to speak, because I know so many people are struggling with even how to have a – even how to have a conversation about this, Mr. Secretary. No matter what you say – no matter what you say or how you say it, you are immediately slammed by somebody. How can we have this conversation intelligently and respectfully with all these different points of view?

SECRETARY BLINKEN: Well, look, my humble opinion is this. Here’s where it starts. It starts with stopping something, and what we need to stop is the dehumanization of the other. We have to recognize the humanity in each other. We have to try to put ourselves in other people’s shoes. We have to have that openness of mind and openness of heart. And when you have that, you can talk about anything – even the hardest things. But once you start dehumanizing, once you start seeing someone as another and somehow not human, that takes – that takes every guardrail, every check away. And then it’s open season.

QUESTION: Yeah. I always say – I always say that – I always say that it’s very hard to hate up close, just having —

SECRETARY BLINKEN: Exactly. Exactly.

QUESTION: I always say that.

QUESTION: What part do our politicians – have they played? Because clearly, if you watch television every day, the Democrats and Republicans, they’re not civil to each other. What part do you think they played in our – us losing our civility?

SECRETARY BLINKEN: Well, one of the great things about this job, being Secretary of State, is I don’t do politics. (Laughter.) And I don’t want to start. But you know —

QUESTION: What do you mean you don’t – wait a second.

SECRETARY BLINKEN: Well, President Biden —

QUESTION: Wait a second, Mr. Secretary. Your whole job is politics. What do you mean you don’t do politics? You have to explain.

SECRETARY BLINKEN: Around the world, but not here at home.

QUESTION: Okay.

SECRETARY BLINKEN: But here’s the thing. What I’ve heard President Biden say for years – because I’ve had the immense privilege of working for him for more than 20 years, and he will – he’s constantly said over these years it’s totally appropriate to be questioning each other’s judgments, but let’s stop questioning each other’s motives. Let’s assume good motives, good intentions, and then we can really have a conversation and we can really try to get to someplace better. I think that’s what we need to do too.

QUESTION: Yeah. I like what you said about the conversations that you’ve had with President Biden about questioning people’s – you can have conversations; you don’t really need to question people’s motives.

But I would like to end with this. What’s your personal mantra that gets you through? Because I think I’m going to adopt whatever you’re having. What’s your personal mantra, Mr. Secretary? And then we’re going to let you go.

SECRETARY BLINKEN: Oh, it’s funny because one of the – I had a chance the other night to meet Rob Reiner, the great director and actor, and one of – he made one of my favorite movies of all time, “This is Spinal Tap.” So this is probably the wrong thing to say. But I told him, actually, that movie has my mantra in it. One of the characters says at one point: “There’s such a fine line between clever and stupid.” I try to stay on the right side of that line every day.

QUESTION: Okay. (Laughter.)

QUESTION: Hey, it’s been an honor.

QUESTION: Yes.

QUESTION: And thank you very much.

QUESTION: Yes. We are very grateful.

SECRETARY BLINKEN: Great to be with you both.

QUESTION: We are very grateful. Thank you, sir.

SECRETARY BLINKEN: Thanks."
1,Secretary Blinken’s Call with Guyanese President Ali,https://www.state.gov/secretary-blinkens-call-with-guyanese-president-ali/,"Secretary of State Antony J. Blinken spoke with Guyanese President Dr. Mohamed Irfaan Ali to reaffirm the United States’ unwavering support for Guyana’s sovereignty. The Secretary reiterated the United States’ call for a peaceful resolution to the dispute and for all parties to respect the 1899 arbitral award determining the land boundary between Venezuela and Guyana, unless, or until, the parties reach a new agreement, or a competent legal body decides otherwise. Secretary Blinken and President Ali noted the International Court of Justice order issued on December 1, which called for parties to refrain from any action that might aggravate or extend the dispute. The Secretary reiterated that the United States looks forward to working closely with Guyana once it assumes its non-permanent seat on the United Nations Security Council in January 2024. The two leaders concluded the call by agreeing upon the importance of maintaining a peaceful and democratic Western Hemisphere."
2,Secretary Blinken to Deliver Remarks at the Department of State Anti-Corruption Champions Award Ceremony (ACCA),https://www.state.gov/secretary-blinken-to-deliver-remarks-at-the-department-of-state-anti-corruption-champions-award-ceremony-acca-2/,"Secretary of State Antony J. Blinken will deliver remarks and announce the fourth cohort of ACCA honorees on Thursday, December 7, 2023 at 10:00 a.m. ET at the Department of State. The Department will recognize 11 honorees from around the world, highlighting the United States’ efforts to support brave individuals who counter corruption across the globe. The ACCA recognizes individuals who have demonstrated leadership, courage, and impact in preventing, exposing, and combating corruption. Secretary Blinken launched the ACCA in February 2021 to demonstrate the Biden Administration’s commitment to countering corruption. To date, 32 individuals have been recognized for their efforts to promote accountability in their countries.

Secretary Blinken’s remarks will be open press and live streamed on www.state.gov and www.YouTube.com/statedept . The event access time for press wishing to cover in-person is 9:15 a.m. from the Department’s 21st Street entrance.

Media representatives may attend this event upon presentation of one of the following: (1) a U.S. Government-issued photo media credential (e.g., Department of State, White House, Congress, Department of Defense or Foreign Press Center), or (2) an official photo identification card issued by their news organization, or (3) a letter from their employer on official letterhead verifying their current employment as a journalist. Additionally, they must present an official government photo identification card (i.e., U.S. driver’s license or passport).

For access to images of the award presentations, please visit @StateINL on Instagram, X/Twitter, and Facebook or contact INL’s Public Affairs and Public Diplomacy Team at INL-PAPD@state.gov."
3,AI Connect II Program Awarded to the Atlantic Council,https://www.state.gov/ai-connect-ii-program-awarded-to-the-atlantic-council/,"The U.S. Department of State awarded a cooperative agreement to the Atlantic Council to continue engagement with the international community developed under the “Promoting American Leadership, Democratic Values, and Economic Prosperity in Artificial Intelligence (AI)” initiative. The Atlantic Council will implement the project funded by the Bureau of Cyberspace and Digital Policy’s (CDP) Digital Connectivity and Cybersecurity Partnership (DCCP) to promote an open, interoperable, reliable, and secure digital economy.

AI Connect II is designed to encourage the responsible stewardship of AI technologies in line with the Organisation for Economic Co-operation and Development (OECD) AI Principles and empower low- and middle-income countries (LMICs) to participate more effectively in global, multi-stakeholder conversations on AI policy.

AI Connect II will bring together a cohort of 150 policymakers, academics, practitioners, and other private sector representatives from selected countries to engage with subject matter experts. The Atlantic Council will work with participants to support their country’s efforts to develop robust AI strategies, foster meaningful connections between individuals working in the same region on responsible AI development, and bring their voices to international forums to enable more inclusive global conversations.

For more information about AI Connect, please visit https://www.atlanticcouncil.org/programs/geotech-center/ai-connect/ .

For press inquiries, please contact: CDP-Press@state.gov."
4,"War Crimes, Crimes Against Humanity, and Ethnic Cleansing Determination in Sudan",https://www.state.gov/war-crimes-crimes-against-humanity-and-ethnic-cleansing-determination-in-sudan/,"War Crimes, Crimes Against Humanity, and Ethnic Cleansing Determination in Sudan

Since the outbreak of fighting on April 15, the Sudanese Armed Forces (SAF) and the Rapid Support Forces (RSF) have unleashed horrific violence, death, and destruction across Sudan. Civilians have borne the brunt of this needless conflict. Detainees have been abused and some killed at SAF and RSF detention sites. Across Sudan, the RSF and allied militias have terrorized women and girls through sexual violence, attacking them in their homes, kidnapping them from the streets, or targeting those trying to flee to safety across the border. In haunting echoes of the genocide that began almost 20 years ago in Darfur, we have seen an explosion of targeted violence against some of the same survivors’ communities. Masalit civilians have been hunted down and left for dead in the streets, their homes set on fire, and told that there is no place in Sudan for them.

Based on the State Department’s careful analysis of the law and available facts, I have determined that members of the SAF and the RSF have committed war crimes in Sudan. I have also determined that members of the RSF and allied militias have committed crimes against humanity and ethnic cleansing.

The expansion of the needless conflict between RSF and the SAF has caused grievous human suffering. The SAF and the RSF must stop this conflict now, comply with their obligations under international humanitarian and human rights law, and hold accountable those responsible for atrocities. They also must adhere to the commitments they made to allow unhindered humanitarian assistance and implement confidence building measures that can lead to a sustainable cessation of hostilities. Arms and funding flowing to the warring parties only prolong a conflict that has no acceptable military solution."
5,Biden Administration Announces Additional U.S. Security Assistance for Ukraine,https://www.state.gov/biden-administration-announces-additional-u-s-security-assistance-for-ukraine/,"The United States is today announcing a new package of weapons and equipment to support the people of Ukraine as they defend their country and their freedom against Russia’s aggression.



This package, which uses the limited resources that remain available to help Ukraine, provides up to $175 million of arms and equipment under previously directed drawdowns. Capabilities provided in today’s package include air defense munitions, additional ammunition for High Mobility Artillery Rockets Systems, artillery ammunition, High-speed Anti-Radiation Missiles, anti-armor missiles, small arms ammunition, demolitions munitions for obstacle clearing, equipment to protect critical national infrastructure, and spare parts, ancillary equipment, services, training, and transportation.



Until Russia ends this war by stopping its brutal attacks and withdrawing its forces from Ukraine, it is critical for the United States to continue to lead the coalition we have built of more than 50 countries standing strongly with Ukraine."
6,The United States Disrupts Beltran Leyva Organization’s Drug Trafficking Through Sanctions,https://www.state.gov/the-united-states-disrupts-beltran-leyva-organizations-drug-trafficking-through-sanctions/,"In close coordination with the Government of Mexico and pursuant to President Biden’s National Drug Control Strategy , today the United States Government designated fifteen Mexican nationals and two Mexico-based entities linked to the Beltran Leyva Organization (BLO). This powerful drug trafficking organization transports and distributes illicit drugs, including fentanyl and cocaine, into the United States

Synthetic drug trafficking presents a worldwide challenge to health and security, and it exacerbates the opioid epidemic in the United States. We continue to dismantle the transnational criminal organizations destabilizing North America, including by using our sanctions authorities to sever criminal entities’ ties to the international financial system.

The steps taken today are an integral component of President Biden’s strengthened, integrated approach to disrupting the trafficking of illicit fentanyl and its precursors into the United States. Today’s actions also highlight the effectiveness of nations working together to disrupt illicit drug supply chains and underscore the need for continued international cooperation, such as through the Global Coalition to Address Synthetic Drug Threats, to dismantle illicit drug trafficking and save lives.

Today’s designations by the Department of the Treasury were taken pursuant to Executive Order 14059, which targets international proliferation of illicit drugs or their means of production. Among those designated today was Oscar Manuel Gastelum Iribe and Pedro Inzunza Noriega, who are part of BLO’s leadership. The State Department’s Narcotics Rewards Program complements the Department of the Treasury’s efforts to bring those involved in fentanyl trafficking to justice. For more information on today’s actions and a detailed list of the individuals and entities designated, see the Treasury press release."
7,"Joint Statement on Advancing Sustainable, Resilient Infrastructure",https://www.state.gov/joint-statement-on-advancing-sustainable-resilient-infrastructure/,"The text of the following statement was released by the Governments of the United States of America and France.

Begin Text:

As a result of the December 6, 2023, Sustainable Infrastructure Panel hosted at the French pavilion at the Conference of the Parties 28 (COP 28), the Blue Dot Network (BDN) and Finance to Accelerate the Sustainable Transition – Infrastructure (FAST-Infra) are pleased to announce their plans to collaborate and cooperate in their efforts to offer innovative solutions that will catalyze private sector investment in quality, sustainable, and climate-resilient infrastructure projects. Both BDN and FAST-Infra align with the G20 Principles for Quality Infrastructure Investment, seeking to reduce the multi-trillion dollar infrastructure gap and accelerate the race to achieve global net-zero emissions. Initiatives such as BDN and FAST-Infra contribute to the further development of sustainable infrastructure as an asset class.

The Blue Dot Network and FAST-Infra Group (FIG) are working toward interoperability between the two initiatives and plan to assess a project using both BDN and FIG methodologies to identify complementary areas for mutual recognition.

Blue Dot Network is a certification mechanism implemented by the United States, Australia, Japan, the United Kingdom, Spain, and Switzerland together with the OECD to promote robust standards and international best practices for quality infrastructure projects. Certification will provide a trusted signal to investors and other stakeholders that infrastructure projects ensure debt sustainability and value for money, are financially, socially, and environmentally sustainable, and help meet global climate goals. For further information, see state.gov/blue-dot-network/.

is a certification mechanism implemented by the United States, Australia, Japan, the United Kingdom, Spain, and Switzerland together with the OECD to promote robust standards and international best practices for quality infrastructure projects. Certification will provide a trusted signal to investors and other stakeholders that infrastructure projects ensure debt sustainability and value for money, are financially, socially, and environmentally sustainable, and help meet global climate goals. For further information, see state.gov/blue-dot-network/. FAST-Infra Group, a multi-stakeholder market-led initiative, was launched under the auspices of the One Planet Summit and aims to promote solutions contributing to the development and improvement of sustainable, affordable, and inclusive infrastructure services, to make sustainable infrastructure a mainstream and liquid asset class, to integrate sustainability into the life cycle of infrastructure projects, and to attract private investment at scale. For further information, see https://fastinfragroup.org/.

End text."
8,U.S. Signs Memorandum of Cooperation with Japan on Countering Foreign Information Manipulation,https://www.state.gov/u-s-signs-memorandum-of-cooperation-with-japan-on-countering-foreign-information-manipulation/,"On December 6, 2023, in Tokyo, U.S. Under Secretary for Public Diplomacy and Public Affairs Liz Allen and Japan Ministry of Foreign Affairs Press Secretary, Assistant Minister, Director-General for Press and Public Diplomacy Kobayashi Maki signed a Memorandum of Cooperation to counter Foreign Information Manipulation, an increasing threat in the region and beyond.

The signing occurred at the Japanese Ministry of Foreign Affairs during Under Secretary Allen’s visit to the region. Before the signing, Under Secretary Allen and Press Secretary Kobayashi met with State Minister Horii Iwao, State Minister for Foreign Affairs, to discuss future collaboration to counter foreign information manipulation.

The Memorandum of Cooperation is the result of growing cooperation between the U.S. and Japanese governments to identify and counter foreign information manipulation and sets the direction for future collaboration. Under the Memorandum, the two countries will work together to improve capacities to counter disinformation.

This signing follows a productive trip to the Republic of Korea, where Under Secretary Allen signed a separate bilateral Memorandum of Understanding with the Republic of Korea’s Ministry of Foreign Affairs on countering foreign information manipulation. These two memoranda demonstrate the seriousness with which the United States is working with its partners to defend the information space.

Foreign information manipulation is a threat to national and economic security and to a free and open Indo-Pacific region."
9,Secretary Blinken’s Call with People’s Republic of China (PRC) Director of the Office of the Foreign Affairs Commission and Foreign Minister Wang Yi,https://www.state.gov/secretary-blinkens-call-with-peoples-republic-of-china-prc-director-of-the-office-of-the-foreign-affairs-commission-and-foreign-minister-wang-yi-2/,"The below is attributable to Spokesperson Matthew Miller:

Secretary of State Antony J. Blinken spoke today with PRC Director of the Office of the Foreign Affairs Commission and Foreign Minister Wang Yi.

The Secretary discussed his recent travel in the Middle East and U.S. diplomatic efforts in the region. The Secretary reiterated the imperative of all parties working to prevent the conflict from spreading. The Secretary underscored that the recent Houthi attacks against commercial vessels in the Red Sea pose an unacceptable threat to maritime security and international law that all nations have an obligation to uphold.

The two sides emphasized the importance of building upon the progress made on key issues in the Summit between President Biden and President Xi last month in Woodside, California."
