지역,진출국가,관할무역관,기업명(국문),기업명(영문),주소,위도,경도,우편번호,진출형태,투자형태,모기업명,업종 대분류,업종 중분류
동남아대양주,인도네시아,수라바야,꼬린 부아나 안따르누사,PT.KORIN BUANA ANTARNUSA,"JL. MAJEEN SUNGKONO KOMPLEK DARMO PARK 1 BLOCK 3A,20, SURABAYA INDONESIA",-7.29145366160541,112.717263011042,60256,기타(현지설립),합작투자(95%),,H. 운수 및 창고업,
동남아대양주,인도네시아,수라바야,대우조선해양,"DAEWOO SHIPBUILDING & MARINE ENGINEERING CO., LTD.",.,,,53302,기타(기술 지원 센터),단독투자,대우조선해양,C. 제조업,기타 기계 및 장비 제조업
동남아대양주,인도네시아,수라바야,대웅인피온,PT.DAEWOONG-INFION,JL.RAYA KASRI NO.153 RT.02 DESA TAWANGREJO KECAMATAN PANDAAN,-7.64525122662221,112.691208724384,63113,생산법인,합작투자(55%),대웅제약,C. 제조업,의료용 물질 및 의약품 제조업
동남아대양주,인도네시아,수라바야,디엠씨 플라스틱 인도네시아,PT DMC PLASTIK INDONESIA,"DUSUN CERME, GAMPING, CAMPUR DARAT, KABUPATEN TULUNGAGUNG, JAWA TIMUR",-8.17494019184717,111.850021804157,66272,생산법인,단독투자,동민산업협동조합,C. 제조업,고무 및 플라스틱제품 제조업
동남아대양주,인도네시아,수라바야,콜트 인도네시아,PT.CORT INDONESIA,"KAWASAN BERIKAT NIP BLOK G5,6 NGORO MOJOKERTO JAWA TIMUR",-7.56496418566696,112.620358534725,61385,생산법인,단독투자,(주)콜텍,C. 제조업,기타 제품 제조업
동남아대양주,인도네시아,수라바야,피에스이,PT.PSE,"INDONESIA SURABAYA PERSADA BLOCK H-1 MOJOKERTO JAWA TIMUR,",-7.56215077436255,112.61711566199,61385,"생산법인, 판매법인, 기타(공장)",단독투자,,C. 제조업,"전자 부품, 컴퓨터, 영상, 음향 및 기통신장비 제조업"
동남아대양주,인도네시아,수라바야,피티 플라즈마,PT PLASMA NUTFAH MARIND PAPUA,"JL.RAYA MANDALA NO.333 MULI, MERAUKE, PAPUA, INDONESIA",-8.51278224997975,140.405280723028,99616,생산법인,단독투자,무림P&P,"A. 농업, 임업 및 어업",
동남아대양주,인도네시아,자카르타,하나글로벌,HANA GLOBAL,"LIPPO KARAWACI, BINONG, KEC. CURUG, TANGERANG, BANTEN, INDONESIA",-6.22668296646627,106.60712997081,15810,판매법인,단독투자,,G. 도매 및 소매업,
동남아대양주,인도네시아,자카르타,하나종금,HANA RISJAD,"WISMA GKBI 17TH SUITE 1702 JL. JEND. SUDIRMAN NO.28 JAKARTA PUSAT 10210, INDONESIA",-6.21747719315086,106.81294464308,10210,서비스법인,.,,K. 금융 및 보험업,
동남아대양주,인도네시아,자카르타,KEB하나은행,BANK KEB HANA INDONESIA,"(KPO) MANGKULUHUR CITY TOWER ONE, GROUND FLOOR, JLN. JEND. GATOT SUBROTO KAV. 1-3, JAKARTA 12930, INDONESIA",-6.22110703733823,106.814108903126,12930,서비스법인,.,KEB하나은행,K. 금융 및 보험업,
동남아대양주,인도네시아,자카르타,파트라SK,PATRA SK,"THE PLAZA OFFICE TOWER LV. 28, JAKARTA, INDONESIA",-6.19267565740498,106.822691216571,10350,생산법인,.,SK루브리컨츠,C. 제조업,"코크스, 연탄 및 석유정제품 제조업"
동남아대양주,인도네시아,자카르타,프리즘 누산타라 인터네셔널,PRISM NUSANTARA INTERNATIONAL,"GANDARIA 8 OFFICE TOWER 12TH FLOOR, JL.SULTAN ISKANDAR MODA, KEBAYORAN LAMA, JAKARTA, INDONESIA",-6.24283274588039,106.783200364981,12240,서비스법인,단독투자,SK E&S,"D. 전기, 가스, 증기 및 공기 조절 공급업",
동남아대양주,인도네시아,자카르타,조양모폴리삼성,CHOYANG MOPOLI SAMSUNG CHEMICAL INDONESIA,"JL. PULAU MENTAWAI, MEDAN INDUSTRIAL ESTATE (KIM) II, DESA SAENTIS, PERCUT SEI TUAN, DELI SERDANG, MEDAN, INDONESIA",3.67347042160216,98.6755009686276,20242,생산법인,.,,C. 제조업,화학 물질 및 화학제품 제조업 (의약품 제외)
동남아대양주,인도네시아,자카르타,판토스,PANTOS LOGISTIC INDONESIA,"KAWASAN INDUSTRI MM 2100 BLOK G, JALAN BALI NO. 1, GANDAMEKAR, CIKARANG BARAT, BEKASI, JAWA BARAT 17530, INDONESIA",-6.2950053591997,107.086690317577,17530,서비스법인,단독투자,,H. 운수 및 창고업,
동남아대양주,인도네시아,자카르타,케이티엔지인도네시아,KT&G INDONESIA,"NOBLE HOUSE 39TH FL. JL. DR. IDE ANAK AGUNG GDE AGUNG KAV. E 4 NO. 2, RT. 5 RW. 2, KUNINGAN TIMUR, SETIABUDI, JAKARTA SELATAN 12950, INDONESIA",-6.22809019029137,106.825335780325,12950,"생산법인, 판매법인",.,KT&G,G. 도매 및 소매업,
동남아대양주,인도네시아,자카르타,아이비케이인도네시아은행,BANK IBK INDONESIA,"WISMA GKBI, 19TH FL. JL. JEND. SUDIRMAN NO. 28, BENDUNGAN HILIR, TANAH ABANG, JAKARTA PUSAT 10210, INDONESIA",-6.21754170037402,106.81291908559,10210,서비스법인,.,,K. 금융 및 보험업,
동남아대양주,인도네시아,자카르타,위자야 인다 아바디 엔탈,WIJAYA INDAH ABADI ENTAL,"JL. AFRIKA NO. 02 KAWASAN INDUSTRI KRAKATAU POSCO KEL. KUBANGSARI, KEC. CIWANDAN CILEGON, INDONESIA",-6.01238497324347,105.979655036142,42443,생산법인,.,,C. 제조업,기타 기계 및 장비 제조업
동남아대양주,인도네시아,자카르타,크라카따우 포스코,KRAKATAU POSCO,"JL. AFRIKA NO.02 KRAKATAU POSCO INTEGRATED STEEL MILL AREA SAMANGRAYA, CITANGKIL, CILEGON BANTEN - 42443, INDONESIA",-6.22737077550608,106.808239004583,42443,생산법인,.,,B. 광업,
동남아대양주,인도네시아,자카르타,포스코아이씨티인도네시아,POSCO ICT INDONESIA,"BLOK GUNUNG PINANG, WANAYASA, KRAMATWATU, SERANG, BANTEN 42161, INDONESIA",-6.05314313356411,106.100339691962,42161,서비스법인,.,포스코ICT,"S. 협회 및 단체, 수리 및 기타 개인 서비스업",
동남아대양주,인도네시아,자카르타,포스코이엔씨인도네시아,POSCO E&C INDONESIA,"RATU PLAZA BUILDING 11F, JL.JEND.SUDIRMAN NO.09 JAKARTA 10270, INDONESIA",-6.22519419914934,106.812300922312,10270,서비스법인,.,포스코건설,F. 건설업,
동남아대양주,인도네시아,자카르타,포스코인도네시아인티,POSCO INDONESIA INTI,"PACIFIC CENTURY PLACE, 17TH FL. SCBD LOT 11A JL. JEND. SUDIRMAN KAV. 52-53, JAKARTA 12190, INDONESIA",-6.22784592134447,106.808399355194,12190,연락사무소,.,포스코,C. 제조업,기타 제품 제조업
동남아대양주,인도네시아,자카르타,한화상사,HANHWA CORPORATION,"SEQUIS BUILDING 9TH FL JL. JEND. SUDIRMAN KAV. 71 JAKARTA SELATAN 12190, INDONESIA",-6.22555701407675,106.807259933768,12190,판매법인,.,한화 상사,G. 도매 및 소매업,
동남아대양주,인도네시아,자카르타,한진인도네시아자야,HANJIN INDONESIA JAYA,"KAWASAN INDUSTRI MODERN CIKANDE JL. MODERN INDUSTRI III,4 CIKANDE SERANG, INDONESIA",-6.18816079586387,106.332488766714,42186,생산법인,.,한진공업,C. 제조업,기타 기계 및 장비 제조업
동남아대양주,인도네시아,자카르타,현대 파사드알루미늄 인도네시아,PT. HYUNDAI FACADE ALUMINIUM INDONESIA,"PINANGSIA KARAWACI OFFICE PARK BLOK B NO. 25 LIPPO VILLAGE TANGERANG BENTEN, INDONESIA",-6.22365079056619,106.619627637879,15139,서비스법인,M&A,,F. 건설업,
동남아대양주,인도네시아,자카르타,현대건설,HYUNDAI E&C,"OFFICE 8 BUILDING 32F, JALAN SENOPATI 08D SENAYAN SCBD LOT.28, KEBAYORAN BARU, JAKARTA 12190, INDONESIA",-6.22949579155977,106.805686184539,12190,해외지사,.,현대건설,F. 건설업,
동남아대양주,인도네시아,자카르타,현대공단,HYUNDAI INTI DEVELOPMENT,"GEDUNG CIMB NIAGA, 3 FLOOR JL. M.H THAMRIN, LIPPO CIKARANG BEKASI 17550, JAWA BARAT, INDONESIA",-6.33207670072075,107.135805264592,17550,서비스법인,.,현대종합상사,G. 도매 및 소매업,
동남아대양주,인도네시아,자카르타,현대모토매뉴팩튜링인도네시아,HYUNDAI MOTOR MANUFACTURING INDONESIA,"JL. SRIWIJAYA NO.16, CIBATU, CIKARANG SEL., BEKASI, JAWA BARAT 17530, INDONESIA",-6.33949575687106,107.153937082058,17530,생산법인,.,현대자동차,C. 제조업,자동차 및 트레일러 제조업
동남아대양주,인도네시아,자카르타,현대상선,HYUNDAI MERCHANT MARINE,"JL. ABDUL MUIS 50, GAMBIR, JAKARTA PUSAT, INDONESIA",-6.17626939255558,106.819592380207,10160,해외지사,.,현대상선,H. 운수 및 창고업,
동남아대양주,인도네시아,자카르타,현대알루미늄,HYUNDAI ALUMINUM,"JL. LETJEN S. PARMAN NO.KAV. 28, RT.3,RW.5, TJ. DUREN SELATAN, GROGOL PETAMBURAN, JAKARTA BARAT 11470, INDONESIA",-6.17684170507698,106.790356015617,11470,판매법인,단독투자,현대알루미늄,F. 건설업,
동남아대양주,인도네시아,자카르타,현대종합상사,HYUNDAI CORPORATION,"WISMA GKBI 38TH FLOOR, SUITE 3806, JL. JEND. SUDIRMAN KAV.28 JAKARTA 10210, INDONESIA",-6.21779837488068,106.813706240029,10210,해외지사,단독투자,현대종합상사,G. 도매 및 소매업,
동남아대양주,인도네시아,자카르타,현대중공업,HYUNDAI MACHINERY INDONESIA,"KAWASAN INDUSTRI SENTUL JALAN OLYMPIC RAYA B18, SENTUL BOGOR 16810, INDONESIA",-6.22815945989728,106.8057886894,16810,판매법인,.,현대중공업,G. 도매 및 소매업,
동남아대양주,인도네시아,자카르타,코오롱인더스트리 인도네시아,PT.KOLON.INA.JL,"RAYA SERANG KM80, SERANG BANTEN, INDONESIA",-6.1311423637176,106.265047728082,042182,생산법인,합작투자(50%),코오롱인더스트리㈜,.,
동남아대양주,인도네시아,자카르타,아시아나항공,ASIANA AIRLINES,"DISTRICT 8 TOWER PROSPERITY UNIT 19I  JL. JENDRAL SUDIRMAN, KAWASAN SCBD LOT.28 JAKARTA SELATAN",-6.22808420614389,106.807135063606,12190,해외지사,단독투자,아시아나항공㈜,H. 운수 및 창고업,
